Quarter,Time,Tm,Detail,HOU,IND
1.0,8:15,Texans,Ka'imi Fairbairn 52 yard field goal,3,0
2.0,14:55,Colts,Jack Doyle 6 yard pass from Jacoby Brissett (Adam Vinatieri kick),3,7
,6:55,Texans,Alfred Blue 2 yard rush (Ka'imi Fairbairn kick),10,7
,1:44,Texans,Ka'imi Fairbairn 46 yard field goal,13,7
3.0,6:51,Colts,Marlon Mack 1 yard rush (Adam Vinatieri kick),13,14
4.0,12:07,Colts,"Safety, T.J. Yates sacked in end zone by Hassan Ridgeway",13,16
,8:47,Colts,Adam Vinatieri 54 yard field goal,13,19
,0:31,Colts,Adam Vinatieri 22 yard field goal,13,22
