Unnamed: 0,CAR,ARI
First Downs,21,21
Rush-Yds-TDs,31-173-1,22-121-0
Cmp-Att-Yd-TD-INT,19-26-261-4-0,30-43-173-2-2
Sacked-Yards,2-21,8-46
Net Pass Yards,240,127
Total Yards,413,248
Fumbles-Lost,2-1,0-0
Turnovers,1,2
Penalties-Yards,3-35,7-52
Third Down Conv.,4-10,9-17
Fourth Down Conv.,0-0,1-1
Time of Possession,28:16,31:44
