Quarter,Time,Tm,Detail,CAR,ARI
1.0,4:30,Cardinals,Larry Fitzgerald 1 yard pass from Kyler Murray (Zane Gonzalez kick),0,7
2.0,14:09,Panthers,Curtis Samuel 5 yard pass from Kyle Allen (Joey Slye kick),7,7
,1:36,Cardinals,Zane Gonzalez 34 yard field goal,7,10
,0:49,Panthers,D.J. Moore 52 yard pass from Kyle Allen (Joey Slye kick),14,10
3.0,11:20,Cardinals,David Johnson 3 yard pass from Kyler Murray (Zane Gonzalez kick),14,17
,7:44,Panthers,Greg Olsen 3 yard pass from Kyle Allen (Joey Slye kick),21,17
,2:47,Cardinals,Zane Gonzalez 47 yard field goal,21,20
,1:53,Panthers,Christian McCaffrey 76 yard rush (Joey Slye kick),28,20
4.0,13:32,Panthers,Greg Olsen 3 yard pass from Kyle Allen (Joey Slye kick),35,20
,4:27,Panthers,Joey Slye 36 yard field goal,38,20
