Quarter,Time,Down,ToGo,Location,SDG,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Titans to receive the opening kickoff.",,
1,15:00,,,SDG 35,0,0,"Nick Novak kicks off 69 yards, returned by Darius Reynaud for 32 yards (tackle by Richard Marshall). Penalty on TEN: Offensive Holding, 10 yards",0.000,0.320
1,14:53,1,10,TEN 13,0,0,Jake Locker pass incomplete short left intended for Kenny Britt,-0.320,-0.770
1,14:49,2,10,TEN 13,0,0,Chris Johnson left end for no gain (tackle by Cam Thomas),-0.770,-1.420
1,14:12,3,10,TEN 13,0,0,"Penalty on Kenny Britt: False Start, 5 yards (no play)",-1.420,-2.010
1,13:57,3,15,TEN 8,0,0,Jake Locker pass complete short right to Delanie Walker for 6 yards (tackle by Eric Weddle and Marcus Gilchrist),-2.010,-2.470
1,13:16,4,9,TEN 14,0,0,"Brett Kern punts 42 yards, returned by Eddie Royal for 7 yards (tackle by Tommie Campbell)",-2.470,-2.320
1,13:06,1,10,TEN 49,0,0,Philip Rivers pass complete short left to Antonio Gates for 7 yards (tackle by Alterraun Verner),2.320,2.730
1,12:25,2,3,TEN 42,0,0,Philip Rivers pass complete short right to Danny Woodhead for 6 yards (tackle by Antonio Johnson),2.730,3.180
1,11:42,1,10,TEN 36,0,0,Philip Rivers pass complete deep right to Antonio Gates for 17 yards,3.180,4.310
1,11:06,1,10,TEN 19,0,0,Ryan Mathews left tackle for 4 yards (tackle by Ropati Pitoitua),4.310,4.350
1,10:25,2,6,TEN 15,0,0,Philip Rivers pass complete short left to Danny Woodhead for 8 yards (tackle by Alterraun Verner),4.350,5.600
1,9:41,1,7,TEN 7,6,0,"Philip Rivers pass complete short left to Antonio Gates for 7 yards, touchdown",5.600,7.000
1,9:41,,,TEN 2,7,0,Nick Novak kicks extra point good,0.000,0.000
1,9:41,,,SDG 35,7,0,"Nick Novak kicks off 70 yards, returned by Darius Reynaud for 25 yards (tackle by Andrew Gachkar)",0.000,-0.280
1,9:28,1,10,TEN 20,7,0,Jake Locker sacked by Reggie Walker for -10 yards,0.280,-1.510
1,8:57,2,20,TEN 10,7,0,Jake Locker pass complete short right to Chris Johnson for 1 yard (tackle by Richard Marshall),-1.510,-2.470
1,8:16,3,19,TEN 11,7,0,Jake Locker pass complete short left to Nate Washington for 14 yards (tackle by Richard Marshall),-2.470,-1.700
1,7:38,4,5,TEN 25,7,0,"Brett Kern punts 50 yards, out of bounds. Penalty on Tommie Campbell: Illegal Touch Kick, 5 yards (no play)",-1.700,-2.030
1,7:27,4,10,TEN 20,7,0,Brett Kern punts 63 yards,-2.030,0.060
1,7:15,1,10,SDG 17,7,0,Ryan Mathews up the middle for 1 yard (tackle by Ropati Pitoitua),-0.060,-0.420
1,6:30,2,9,SDG 18,7,0,"Ronnie Brown right tackle for 1 yard (tackle by Karl Klug). Penalty on Moise Fokou: Unnecessary Roughness, 15 yards",-0.420,1.200
1,6:05,1,10,SDG 34,7,0,Ryan Mathews left end for 4 yards (tackle by Moise Fokou and Michael Griffin),1.200,1.200
1,5:25,2,6,SDG 38,7,0,Philip Rivers pass complete short right to Ladarius Green for 14 yards (tackle by Michael Griffin),1.200,2.390
1,4:51,1,10,TEN 48,7,0,Danny Woodhead left guard for 7 yards (tackle by Zach Brown),2.390,2.790
1,4:24,2,3,TEN 41,7,0,Ronnie Brown right tackle for 2 yards (tackle by Derrick Morgan),2.790,2.340
