Unnamed: 0,SDG,TEN
First Downs,19,23
Rush-Yds-TDs,27-102-1,29-170-1
Cmp-Att-Yd-TD-INT,20-24-184-1-0,23-37-299-1-0
Sacked-Yards,2-9,2-17
Net Pass Yards,175,282
Total Yards,277,452
Fumbles-Lost,1-1,2-0
Turnovers,1,0
Penalties-Yards,5-45,11-116
Third Down Conv.,3-9,6-14
Fourth Down Conv.,0-0,1-2
Time of Possession,28:22,31:38
