Unnamed: 0,BAL,LVR
First Downs,20,26
Rush-Yds-TDs,34-189-2,21-82-2
Cmp-Att-Yd-TD-INT,19-30-235-1-0,34-56-435-2-1
Sacked-Yards,3-18,3-26
Net Pass Yards,217,409
Total Yards,406,491
Fumbles-Lost,4-2,1-0
Turnovers,2,1
Penalties-Yards,5-71,10-62
Third Down Conv.,3-12,7-15
Fourth Down Conv.,1-2,0-1
Time of Possession,32:14,34:08
