Quarter,Time,Down,ToGo,Location,BAL,LVR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 65 yards, touchback.",,
1,15:00,1,10,LVR 25,0,0,Derek Carr pass incomplete short right intended for Darren Waller (defended by Chuck Clark),,
1,14:56,2,10,LVR 25,0,0,Derek Carr pass complete short left to Alec Ingold for 9 yards (tackle by DeShon Elliott and Anthony Averett),,
1,14:13,3,1,LVR 34,0,0,Marcus Mariota up the middle for 31 yards (tackle by Marlon Humphrey),,
1,13:11,1,10,BAL 35,0,0,Kenyan Drake up the middle for -1 yards (tackle by Brandon Williams),,
1,12:39,2,11,BAL 36,0,0,Derek Carr scrambles up the middle for 2 yards (tackle by Brandon Williams),,
1,11:55,3,9,BAL 34,0,0,Derek Carr pass complete short middle to Darren Waller for 13 yards (tackle by Chuck Clark),,
1,11:21,1,10,BAL 21,0,0,"Josh Jacobs for 3 yards (tackle by DeShon Elliott). Penalty on Andre James: Offensive Holding, 10 yards (accepted)",,
1,11:00,1,17,BAL 28,0,0,Derek Carr pass incomplete deep left intended for Hunter Renfrow,,
1,10:55,2,17,BAL 28,0,0,Derek Carr pass incomplete short left intended for Josh Jacobs,,
1,10:51,3,17,BAL 28,0,0,"Derek Carr aborted snap, recovered by Derek Carr at BAL-43 and returned for -10 yards Derek Carr for no gain Penalty on LVR: Illegal Shift, 5 yards (declined)",,
1,10:37,4,32,BAL 43,0,0,AJ Cole punts 35 yards out of bounds,,
1,10:29,1,10,BAL 8,0,0,Ty'Son Williams left end for 3 yards (tackle by Yannick Ngakoue and Quinton Jefferson),,
1,9:51,2,7,BAL 11,0,0,Lamar Jackson scrambles up the middle for 18 yards (tackle by Johnathan Abram),,
1,9:09,1,10,BAL 29,0,0,Lamar Jackson pass complete short left to Ty'Son Williams for 2 yards (tackle by Johnathan Abram),,
1,8:34,2,8,BAL 31,0,0,Lamar Jackson scrambles up the middle for 2 yards (tackle by Maxx Crosby),,
1,7:50,3,6,BAL 33,0,0,Lamar Jackson pass complete short left to Sammy Watkins for 8 yards (tackle by Johnathan Abram),,
1,7:09,1,10,BAL 41,0,0,"Penalty on Kevin Zeitler: False Start, 5 yards (accepted) (no play)",,
1,6:50,1,15,BAL 36,0,0,Lamar Jackson pass incomplete short middle intended for Mark Andrews,,
1,6:45,2,15,BAL 36,0,0,Trenton Cannon left end for 2 yards (tackle by Darius Philon and Denzel Perryman),,
1,6:01,3,13,BAL 38,0,0,Lamar Jackson sacked by Maxx Crosby for -6 yards,,
1,5:24,4,19,BAL 32,0,0,"Sam Koch punts 47 yards, returned by Hunter Renfrow for 3 yards (tackle by Trenton Cannon)",,
1,5:14,1,10,LVR 24,0,0,Derek Carr pass incomplete deep right intended for Darren Waller (defended by Chuck Clark),,
1,5:09,2,10,LVR 24,0,0,Derek Carr pass incomplete deep right intended for Darren Waller,,
1,5:03,3,10,LVR 24,0,0,Derek Carr pass incomplete deep middle intended for Darren Waller (defended by Chuck Clark),,
1,4:59,4,10,LVR 24,0,0,"AJ Cole punts 63 yards, returned by Devin Duvernay for 22 yards (tackle by Nick Kwiatkoski and Johnathan Abram)",,
1,4:46,1,10,BAL 35,0,0,Lamar Jackson pass complete short right to Marquise Brown for no gain (tackle by Casey Hayward),,
1,4:03,2,10,BAL 35,0,0,Lamar Jackson pass complete short left to Ty'Son Williams for 21 yards (tackle by Casey Hayward),,
1,3:22,1,10,LVR 44,0,0,Ty'Son Williams right guard for 3 yards (tackle by Cory Littleton and Denzel Perryman),,
1,2:38,2,7,LVR 41,0,0,Lamar Jackson pass incomplete short middle intended for Sammy Watkins,,
1,2:35,3,7,LVR 41,0,0,Lamar Jackson pass complete to Mark Andrews for 6 yards (tackle by Trayvon Mullen),,
1,1:54,4,1,LVR 35,6,0,"Ty'Son Williams up the middle for 35 yards, touchdown",,
1,1:47,,,LVR 15,7,0,Justin Tucker kicks extra point good,,
1,1:47,,,BAL 35,7,0,"Justin Tucker kicks off 63 yards, returned by Henry Ruggs for 13 yards (tackle by Anthony Levine)",,
1,1:42,1,10,LVR 15,7,0,Josh Jacobs right tackle for 13 yards (tackle by Malik Harrison),,
1,1:06,1,10,LVR 28,7,0,Josh Jacobs right guard for no gain (tackle by Justin Houston and Patrick Queen),,
1,0:31,2,10,LVR 28,7,0,Derek Carr pass incomplete short right intended for Darren Waller,,
1,0:25,3,10,LVR 28,7,0,Derek Carr pass incomplete short middle intended for Darren Waller (defended by Marlon Humphrey),,
1,0:19,4,10,LVR 28,7,0,"AJ Cole punts 67 yards, returned by Devin Duvernay for 15 yards (tackle by Dallin Leavitt and Nick Kwiatkoski)",,
1,0:08,1,10,BAL 20,7,0,Lamar Jackson pass complete short right to Devin Duvernay for 6 yards (tackle by Johnathan Abram),,
Quarter,Time,Down,ToGo,Location,BAL,LVR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,BAL 26,7,0,Latavius Murray right tackle for -3 yards (tackle by Darius Philon),,
2,14:21,3,8,BAL 23,7,0,Lamar Jackson pass incomplete short middle intended for Sammy Watkins,,
2,14:16,4,8,BAL 23,7,0,"Sam Koch punts 42 yards, fair catch by Hunter Renfrow at LV-35",,
2,14:09,1,10,LVR 35,7,0,Josh Jacobs left guard for no gain (tackle by Justin Ellis),,
2,13:25,2,10,LVR 35,7,0,Derek Carr pass complete short middle to Josh Jacobs for 6 yards (tackle by Malik Harrison),,
2,12:38,3,4,LVR 41,7,0,"Penalty on John Simpson: False Start, 6 yards (accepted) (no play)",,
2,12:16,3,10,LVR 35,7,0,Derek Carr sacked by Pernell McPhee for -11 yards,,
2,11:39,4,21,LVR 24,7,0,"AJ Cole punts 50 yards, recovered by Devin Duvernay at BAL-32",,
2,11:30,1,10,BAL 32,7,0,Lamar Jackson pass complete deep left to Marquise Brown for 29 yards (tackle by Trevon Moehrig),,
2,10:57,1,10,LVR 39,7,0,"Lamar Jackson aborted snap, recovered by Lamar Jackson at LV-43 and returned for 4 yards Lamar Jackson for no gain",,
2,10:15,2,14,LVR 43,7,0,Lamar Jackson pass complete short middle to Sammy Watkins for 29 yards (tackle by Nick Kwiatkoski),,
2,9:40,1,10,LVR 14,7,0,Lamar Jackson pass incomplete short middle intended for Josh Oliver,,
2,9:35,2,10,LVR 14,7,0,Ty'Son Williams right tackle for 4 yards (tackle by Cory Littleton and Yannick Ngakoue),,
2,9:01,3,6,LVR 10,13,0,"Lamar Jackson pass complete short right to Marquise Brown for 10 yards, touchdown",,
2,8:52,,,LVR 15,14,0,Justin Tucker kicks extra point good,,
2,8:52,,,BAL 35,14,0,"Justin Tucker kicks off 65 yards, touchback.",,
2,8:52,1,10,LVR 25,14,0,Derek Carr pass complete short left to Alec Ingold for 5 yards (tackle by DeShon Elliott),,
2,8:15,2,5,LVR 30,14,0,Derek Carr pass complete short left to Kenyan Drake for 6 yards (tackle by Malik Harrison),,
2,7:44,1,10,LVR 36,14,0,Derek Carr pass complete short middle to Hunter Renfrow for 12 yards (tackle by Tavon Young),,
2,7:08,1,10,LVR 48,14,0,Derek Carr pass complete short left to Darren Waller for 9 yards (tackle by Anthony Averett),,
2,6:31,2,1,BAL 43,14,0,Kenyan Drake right tackle for no gain (tackle by Odafe Oweh),,
2,5:46,3,1,BAL 43,14,0,Derek Carr pass complete deep middle to Darren Waller for 24 yards (tackle by DeShon Elliott and Chuck Clark),,
2,5:00,1,10,BAL 19,14,0,Derek Carr pass incomplete short left intended for Henry Ruggs,,
2,4:54,2,10,BAL 19,14,0,Derek Carr pass complete short right to Darren Waller for 8 yards (tackle by Chris Board),,
2,4:22,,,,,,Timeout #1 by Las Vegas Raiders,,
2,4:22,3,2,BAL 11,14,0,"Derek Carr pass incomplete intended for Hunter Renfrow. Penalty on Tavon Young: Defensive Pass Interference, 9 yards (accepted) (no play)",,
2,4:17,1,2,BAL 2,14,6,"Josh Jacobs up the middle for 2 yards, touchdown",,
2,4:14,,,BAL 15,14,7,Daniel Carlson kicks extra point good,,
2,4:14,,,LVR 35,14,7,"Daniel Carlson kicks off 65 yards, touchback.",,
2,4:14,1,10,BAL 25,14,7,Ty'Son Williams left tackle for 1 yard (tackle by Cory Littleton),,
2,3:32,2,9,BAL 26,14,7,Lamar Jackson pass complete short right to Marquise Brown for 13 yards (tackle by Denzel Perryman),,
2,2:59,1,10,BAL 39,14,7,Ty'Son Williams left guard for 16 yards (tackle by Johnathan Abram and Trevon Moehrig),,
