Quarter,Time,Tm,Detail,BAL,LVR
1,1:47,Ravens,Ty'Son Williams 35 yard rush (Justin Tucker kick),7,0
2,8:52,Ravens,Marquise Brown 10 yard pass from Lamar Jackson (Justin Tucker kick),14,0
,4:14,Raiders,Josh Jacobs 2 yard rush (Daniel Carlson kick),14,7
,0:00,Raiders,Daniel Carlson 34 yard field goal,14,10
3,8:24,Ravens,Justin Tucker 40 yard field goal,17,10
4,9:18,Raiders,Josh Jacobs 15 yard rush (Daniel Carlson kick),17,17
,6:04,Ravens,Latavius Murray 8 yard rush (Justin Tucker kick),24,17
,3:44,Raiders,Darren Waller 10 yard pass from Derek Carr (Daniel Carlson kick),24,24
,0:37,Ravens,Justin Tucker 47 yard field goal,27,24
,0:02,Raiders,Daniel Carlson 55 yard field goal,27,27
OT,3:38,Raiders,Zay Jones 31 yard pass from Derek Carr,27,33
