Unnamed: 0,ATL,NOR
First Downs,18,22
Rush-Yds-TDs,22-81-1,18-57-1
Cmp-Att-Yd-TD-INT,30-40-322-1-0,30-47-313-1-2
Sacked-Yards,0-0,5-42
Net Pass Yards,322,271
Total Yards,403,328
Fumbles-Lost,1-0,3-2
Turnovers,0,4
Penalties-Yards,6-64,3-25
Third Down Conv.,7-15,7-14
Fourth Down Conv.,0-0,1-2
Time of Possession,32:09,27:51
