Quarter,Time,Tm,Detail,ATL,NOR
1.0,14:40,Saints,Mark Ingram 1 yard rush (Shayne Graham kick),0,7
,11:15,Falcons,Matt Bryant 44 yard field goal,3,7
2.0,11:48,Falcons,Matt Bryant 50 yard field goal,6,7
,0:03,Falcons,Eric Weems 3 yard pass from Matt Ryan (Matt Bryant kick),13,7
3.0,5:42,Falcons,Devonta Freeman 31 yard rush (Matt Bryant kick),20,7
4.0,5:48,Saints,Jimmy Graham 4 yard pass from Drew Brees (Shayne Graham kick),20,14
,1:56,Falcons,Matt Bryant 32 yard field goal,23,14
,0:00,Falcons,Osi Umenyiora 86 yard defensive fumble return (Matt Bryant kick),30,14
