Quarter,Time,Tm,Detail,ATL,DET
1.0,10:17,Lions,Jason Hanson 28 yard field goal,0,3
,6:26,Lions,Kevin Jones 35 yard rush (Jason Hanson kick),0,10
,2:37,Falcons,Alge Crumpler 19 yard pass from Michael Vick (Morten Andersen kick),7,10
2.0,8:40,Lions,Kevin Jones 2 yard rush (Jason Hanson kick),7,17
,1:02,Falcons,Warrick Dunn 1 yard rush (Morten Andersen kick),14,17
3.0,8:26,Lions,Jason Hanson 19 yard field goal,14,20
4.0,13:09,Lions,Roy Williams 60 yard pass from Jon Kitna (Jason Hanson kick),14,27
,2:52,Lions,Jason Hanson 36 yard field goal,14,30
