Unnamed: 0,ATL,DET
First Downs,19,20
Rush-Yds-TDs,26-165-1,27-127-2
Cmp-Att-Yd-TD-INT,17-32-163-1-2,20-32-321-1-1
Sacked-Yards,2-9,3-13
Net Pass Yards,154,308
Total Yards,319,435
Fumbles-Lost,1-1,1-0
Turnovers,3,1
Penalties-Yards,9-76,10-71
Third Down Conv.,3-11,6-12
Fourth Down Conv.,1-1,0-1
Time of Possession,27:04,32:56
