Unnamed: 0,GNB,NOR
First Downs,22,21
Rush-Yds-TDs,31-109-2,26-98-3
Cmp-Att-Yd-TD-INT,23-41-248-2-3,20-27-323-4-1
Sacked-Yards,2-14,1-5
Net Pass Yards,234,318
Total Yards,343,416
Fumbles-Lost,3-0,0-0
Turnovers,3,1
Penalties-Yards,3-20,2-10
Third Down Conv.,10-17,3-8
Fourth Down Conv.,1-2,2-2
Time of Possession,32:04,27:56
