Quarter,Time,Tm,Detail,GNB,SFO
1.0,2:12,Packers,Ryan Longwell 48 yard field goal,3,0
2.0,9:34,49ers,Jeff Chandler 47 yard field goal,3,3
,0:07,49ers,Jeff Chandler 42 yard field goal,3,6
3.0,11:02,Packers,Ahman Green 9 yard rush (Ryan Longwell kick),10,6
,5:35,Packers,Donald Driver 5 yard pass from Brett Favre (Ryan Longwell kick),17,6
,1:04,49ers,Terrell Owens 45 yard pass from Jeff Garcia (Jeff Garcia run),17,14
4.0,4:41,Packers,Ryan Longwell 28 yard field goal,20,14
