Unnamed: 0,GNB,SFO
First Downs,21,16
Rush-Yds-TDs,33-104-1,23-107-0
Cmp-Att-Yd-TD-INT,25-33-201-1-0,19-34-156-1-1
Sacked-Yards,1-3,0-0
Net Pass Yards,198,156
Total Yards,302,263
Fumbles-Lost,2-0,0-0
Turnovers,0,1
Penalties-Yards,4-20,3-18
Third Down Conv.,9-16,6-13
Fourth Down Conv.,0-0,0-1
Time of Possession,36:03,23:57
