Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Marlon Mack,IND,29,132,0,7,65,2.2,67,2.3,2,14.5
Jordan Wilkins,IND,7,28,0,,18,2.6,10,1.4,0,
Jacoby Brissett,IND,6,9,1,3,9,1.5,0,0.0,0,
Nyheim Hines,IND,2,-1,0,1,-1,-0.5,0,0.0,0,
Zach Pascal,IND,1,12,0,1,8,8.0,4,4.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Damien Williams,KAN,9,23,0,1,18,2.0,5,0.6,0,
Patrick Mahomes,KAN,3,17,0,1,17,5.7,0,0.0,0,
Mecole Hardman,KAN,1,-6,0,0,-6,-6.0,0,0.0,0,
Anthony Sherman,KAN,1,2,0,1,2,2.0,0,0.0,0,
