Quarter,Time,Tm,Detail,IND,KAN
1.0,9:02,Chiefs,Harrison Butker 29 yard field goal,0,3
,3:44,Colts,Jacoby Brissett 1 yard rush (Adam Vinatieri kick),7,3
2.0,14:08,Chiefs,Byron Pringle 27 yard pass from Patrick Mahomes (Harrison Butker kick),7,10
,11:12,Colts,Adam Vinatieri 32 yard field goal,10,10
,0:10,Colts,Adam Vinatieri 32 yard field goal,13,10
4.0,7:40,Colts,Adam Vinatieri 31 yard field goal,16,10
,2:27,Colts,Adam Vinatieri 29 yard field goal,19,10
,1:16,Chiefs,Harrison Butker 36 yard field goal,19,13
