Unnamed: 0,KAN,ATL
First Downs,17,32
Rush-Yds-TDs,22-123-2,30-128-2
Cmp-Att-Yd-TD-INT,21-25-270-1-0,22-34-297-1-1
Sacked-Yards,1-4,2-7
Net Pass Yards,266,290
Total Yards,389,418
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,13-128,5-30
Third Down Conv.,3-10,6-10
Fourth Down Conv.,2-2,0-1
Time of Possession,28:08,31:52
