Quarter,Time,Tm,Detail,KAN,ATL
1.0,10:02,Falcons,Devonta Freeman 1 yard rush (Matt Bryant kick),0,7
,8:00,Chiefs,Spencer Ware 3 yard rush (Cairo Santos kick failed),6,7
,5:11,Falcons,Matt Bryant 22 yard field goal,6,10
2.0,13:25,Falcons,Matt Bryant 22 yard field goal,6,13
,7:05,Chiefs,Spencer Ware 3 yard pass from Alex Smith (Cairo Santos kick),13,13
,0:37,Chiefs,Eric Berry 37 yard interception return (Cairo Santos kick),20,13
,0:00,Falcons,Matt Bryant 59 yard field goal,20,16
3.0,12:52,Chiefs,Albert Wilson 55 yard rush (Cairo Santos kick),27,16
4.0,11:57,Falcons,Devonta Freeman 1 yard rush (pass failed),27,22
,4:32,Falcons,Aldrick Robinson 5 yard pass from Matt Ryan (pass failed),27,28
,4:32,Chiefs,Eric Berry defensive extra point return,29,28
