Quarter,Time,Tm,Detail,CIN,JAX
1,6:51,Jaguars,Travis Etienne 4 yard rush (Brandon McManus kick),0,7
2,12:24,Bengals,Joe Mixon 6 yard rush (Evan McPherson kick),7,7
,6:24,Jaguars,Evan Engram 22 yard pass from Trevor Lawrence (Brandon McManus kick),7,14
,1:04,Bengals,Joe Mixon 2 yard rush (Evan McPherson kick),14,14
3,11:50,Bengals,Ja'Marr Chase 76 yard pass from Jake Browning (Evan McPherson kick),21,14
,5:26,Jaguars,Parker Washington 14 yard pass from Trevor Lawrence (Brandon McManus kick),21,21
,3:10,Jaguars,Trevor Lawrence 1 yard rush (Brandon McManus kick),21,28
4,9:27,Bengals,Jake Browning 1 yard rush (Evan McPherson kick),28,28
,2:28,Bengals,Evan McPherson 54 yard field goal,31,28
,0:26,Jaguars,Brandon McManus 40 yard field goal,31,31
OT,1:45,Bengals,Evan McPherson 48 yard field goal,34,31
