Unnamed: 0,CIN,JAX
First Downs,27,23
Rush-Yds-TDs,31-156-3,25-71-2
Cmp-Att-Yd-TD-INT,33-39-347-1-1,31-39-321-2-0
Sacked-Yards,2-12,4-16
Net Pass Yards,335,305
Total Yards,491,376
Fumbles-Lost,0-0,3-0
Turnovers,1,0
Penalties-Yards,6-35,7-55
Third Down Conv.,8-14,6-15
Fourth Down Conv.,1-2,2-2
Time of Possession,34:03,34:12
