Unnamed: 0,CIN,CAR
First Downs,25,23
Rush-Yds-TDs,29-83-1,29-82-1
Cmp-Att-Yd-TD-INT,25-37-295-2-0,21-29-319-3-1
Sacked-Yards,4-38,0-0
Net Pass Yards,257,319
Total Yards,340,401
Fumbles-Lost,4-1,2-2
Turnovers,1,3
Penalties-Yards,5-39,10-91
Third Down Conv.,6-15,5-9
Fourth Down Conv.,0-0,0-1
Time of Possession,31:08,28:52
