Quarter,Time,Down,ToGo,Location,DAL,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Dan Bailey kicks off 70 yards, returned by Percy Harvin for 26 yards (tackle by Lance Dunbar)",0.000,-0.340
1,14:55,1,10,SEA 21,0,0,Marshawn Lynch left guard for 5 yards (tackle by Rolando McClain and Justin Durant),0.340,0.480
1,14:23,2,5,SEA 26,0,0,Percy Harvin left end for -1 yards (tackle by George Selvie and Jeremy Mincey),0.480,-0.360
1,13:44,3,6,SEA 25,0,0,Russell Wilson pass complete short left to Cooper Helfet for 7 yards (tackle by Barry Church),-0.360,1.070
1,13:11,1,10,SEA 32,0,0,Russell Wilson pass complete short right to Marshawn Lynch for 1 yard (tackle by Rolando McClain and Nick Hayden),1.070,0.660
1,12:30,2,9,SEA 33,0,0,Russell Wilson sacked for 0 yards. Russell Wilson fumbles,0.660,-0.030
1,12:04,3,9,SEA 33,0,0,Russell Wilson pass complete deep right to Jermaine Kearse for 53 yards (tackle by J.J. Wilcox),-0.030,4.650
1,11:34,1,10,DAL 14,0,0,Russell Wilson pass complete short left to Percy Harvin for -1 yards (tackle by Orlando Scandrick),4.650,3.850
1,10:54,2,11,DAL 15,0,0,Percy Harvin right end for no gain (tackle by Barry Church and Justin Durant),3.850,3.060
1,10:14,3,11,DAL 15,0,0,Russell Wilson pass incomplete short middle intended for Doug Baldwin (defended by Barry Church),3.060,2.440
1,10:10,4,11,DAL 15,0,3,Steven Hauschka 33 yard field goal good,2.440,3.000
1,10:10,,,SEA 35,0,3,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.280
1,10:05,1,10,DAL 20,0,3,DeMarco Murray left tackle for no gain (tackle by Brandon Mebane),0.280,-0.270
1,9:28,2,10,DAL 20,0,3,Tony Romo pass incomplete short left intended for Dez Bryant,-0.270,-0.960
1,9:22,3,10,DAL 20,0,3,Tony Romo pass complete short right to Cole Beasley for 11 yards (tackle by Marcus Burley),-0.960,1.000
1,8:36,1,10,DAL 31,0,3,DeMarco Murray up the middle for 4 yards (tackle by Bobby Wagner),1.000,1.000
1,7:59,2,6,DAL 35,0,3,Tony Romo pass complete short left to Lance Dunbar for 3 yards (tackle by K.J. Wright),1.000,0.700
1,7:27,3,3,DAL 38,0,3,Tony Romo pass incomplete short middle intended for Jason Witten,0.700,-0.850
1,7:19,4,3,DAL 38,0,9,"Chris Jones punts, blocked by Doug Baldwin, recovered by Mike Morgan and returned 25 yards, touchdown",-0.850,-7.000
1,7:13,,,DAL 2,0,10,Steven Hauschka kicks extra point good,0.000,0.000
1,7:13,,,SEA 35,0,10,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.280
1,7:13,1,10,DAL 20,0,10,DeMarco Murray right tackle for 4 yards (tackle by K.J. Wright and Bobby Wagner),0.280,0.270
1,6:40,2,6,DAL 24,0,10,DeMarco Murray left guard for 3 yards (tackle by Richard Sherman and Kevin Williams),0.270,-0.030
1,5:55,3,3,DAL 27,0,10,Tony Romo pass complete short left to Lance Dunbar for 6 yards (tackle by Bobby Wagner),-0.030,1.140
1,5:25,1,10,DAL 33,0,10,Joseph Randle left tackle for 38 yards (tackle by Richard Sherman and Kam Chancellor),1.140,3.640
1,4:42,1,10,SEA 29,0,10,DeMarco Murray right tackle for 3 yards (tackle by Earl Thomas and Bruce Irvin),3.640,3.510
1,4:00,2,7,SEA 26,0,10,Tony Romo pass complete deep middle to Jason Witten for 21 yards (tackle by Kam Chancellor),3.510,6.060
1,3:21,1,5,SEA 5,0,10,DeMarco Murray left guard for 3 yards (tackle by Marcus Burley and Brandon Mebane),6.060,5.720
1,2:41,2,2,SEA 2,0,10,Tony Romo pass incomplete short left intended for Gavin Escobar (defended by Byron Maxwell),5.720,4.950
1,2:38,3,2,SEA 2,6,10,"Tony Romo pass complete short middle to Gavin Escobar for 2 yards, touchdown",4.950,7.000
1,2:38,,,SEA 2,7,10,Dan Bailey kicks extra point good,0.000,0.000
1,2:38,,,DAL 35,7,10,"Dan Bailey kicks off 69 yards, returned by Percy Harvin for 46 yards (tackle by Tyler Patmon)",0.000,-1.730
1,2:25,1,10,SEA 42,7,10,"Russell Wilson sacked by Anthony Spencer for 0 yards. Penalty on Orlando Scandrick: Defensive Holding, 5 yards (no play)",1.730,2.060
1,2:03,1,10,SEA 47,7,10,Russell Wilson pass incomplete short right intended for Luke Willson (defended by Brandon Carr),2.060,1.520
1,1:51,2,10,SEA 47,7,10,Marshawn Lynch left guard for 3 yards (tackle by Anthony Spencer and Barry Church),1.520,1.220
1,1:07,3,7,,7,10,"Penalty on Russell Okung: False Start, 5 yards (no play)",1.220,0.560
1,0:43,3,12,SEA 45,7,10,Russell Wilson sacked by George Selvie for 0 yards,0.560,-0.390
1,0:06,4,12,SEA 45,7,10,"Jon Ryan punts 50 yards, fair catch by Dwayne Harris",-0.390,0.380
Quarter,Time,Down,ToGo,Location,DAL,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DAL 5,7,10,DeMarco Murray left tackle for 3 yards (tackle by Malcolm Smith and Richard Sherman),-0.380,-0.560
2,14:22,2,7,DAL 8,7,10,DeMarco Murray right tackle for 10 yards (tackle by Tony McDaniel),-0.560,0.040
2,13:48,1,10,DAL 18,7,10,Tony Romo pass incomplete deep left intended for Dez Bryant,0.040,-0.490
2,13:41,2,10,DAL 18,7,10,Joseph Randle left tackle for 6 yards (tackle by Kam Chancellor),-0.490,-0.400
2,13:01,3,4,DAL 24,7,10,"Tony Romo pass complete short left to Joseph Randle for 2 yards (tackle by Malcolm Smith and Byron Maxwell). Penalty on Byron Maxwell: Defensive Holding, 5 yards (no play)",-0.400,0.870
2,12:36,1,10,DAL 29,7,10,DeMarco Murray up the middle for 1 yard (tackle by Malcolm Smith and Tony McDaniel),0.870,0.460
2,11:56,2,9,DAL 30,7,10,DeMarco Murray up the middle for 4 yards (tackle by Kevin Williams),0.460,0.300
2,11:14,3,5,DAL 34,7,10,Tony Romo pass complete short middle to Dez Bryant for 13 yards (tackle by Earl Thomas),0.300,2.060
2,10:29,1,10,DAL 47,7,10,DeMarco Murray right guard for 4 yards (tackle by Tony McDaniel),2.060,2.060
2,9:51,2,6,SEA 49,7,10,Joseph Randle left end for 7 yards (tackle by Tony McDaniel),2.060,2.790
2,9:12,1,10,SEA 42,7,10,Joseph Randle right tackle for 1 yard (tackle by Brandon Mebane),2.790,2.380
2,8:31,2,9,SEA 41,7,10,Tony Romo pass complete short left to Dez Bryant for 11 yards (tackle by Byron Maxwell),2.380,3.580
