Quarter,Time,Tm,Detail,DAL,SEA
1.0,10:06,Seahawks,Stephen Hauschka 33 yard field goal,0,3
,7:13,Seahawks,Mike Morgan 25 yard blocked punt return (Stephen Hauschka kick),0,10
,2:34,Cowboys,Gavin Escobar 2 yard pass from Tony Romo (Dan Bailey kick),7,10
2.0,5:15,Cowboys,Dan Bailey 42 yard field goal,10,10
,0:16,Cowboys,Jason Witten 3 yard pass from Tony Romo (Dan Bailey kick),17,10
3.0,6:19,Seahawks,Russell Wilson 9 yard rush (Stephen Hauschka kick),17,17
,3:20,Seahawks,Stephen Hauschka 33 yard field goal,17,20
,1:04,Cowboys,Dan Bailey 56 yard field goal,20,20
4.0,8:16,Seahawks,Stephen Hauschka 48 yard field goal,20,23
,3:16,Cowboys,DeMarco Murray 15 yard rush (Dan Bailey kick),27,23
,1:09,Cowboys,Dan Bailey 31 yard field goal,30,23
