Unnamed: 0,DAL,SEA
First Downs,23,9
Rush-Yds-TDs,36-162-1,18-80-1
Cmp-Att-Yd-TD-INT,21-32-250-2-0,14-28-126-0-1
Sacked-Yards,1-11,2-0
Net Pass Yards,239,126
Total Yards,401,206
Fumbles-Lost,2-2,1-0
Turnovers,2,1
Penalties-Yards,6-46,9-58
Third Down Conv.,10-17,5-13
Fourth Down Conv.,0-0,0-1
Time of Possession,37:39,22:21
