Quarter,Time,Down,ToGo,Location,CHI,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,STL 20,0,0,Nick Foles pass complete short right to Jared Cook for 29 yards (tackle by Tracy Porter),0.280,2.190
1,14:26,1,10,STL 49,0,0,Nick Foles pass incomplete deep middle intended for Brian Quick,2.190,1.650
1,14:19,2,10,STL 49,0,0,Nick Foles pass complete short middle to Todd Gurley for 31 yards (tackle by Kyle Fuller),1.650,4.240
1,13:38,1,10,CHI 20,0,0,Todd Gurley left tackle for 8 yards (tackle by Antrel Rolle),4.240,5.040
1,12:52,2,2,CHI 12,0,0,Todd Gurley left guard for 6 yards (tackle by Shea McClellin),5.040,5.830
1,12:10,1,6,CHI 6,0,0,Nick Foles pass incomplete short right intended for Lance Kendricks,5.830,4.950
1,12:04,2,6,CHI 6,0,6,"Todd Gurley right guard for 6 yards, touchdown",4.950,7.000
1,12:04,,,CHI 6,0,7,Greg Zuerlein kicks extra point good,0.000,0.000
1,12:04,,,STL 35,0,7,"Greg Zuerlein kicks off 70 yards, returned by Marc Mariani for 19 yards (tackle by Bradley Marquez)",0.000,0.280
1,11:57,1,10,CHI 14,0,7,Jeremy Langford right tackle for -1 yards (tackle by Akeem Ayers),-0.280,-0.850
1,11:24,2,11,CHI 13,6,7,"Jay Cutler pass complete short left to Zach Miller for 87 yards, touchdown",-0.850,7.000
1,11:24,,,STL 13,7,7,Robbie Gould kicks extra point good,0.000,0.000
1,11:24,,,CHI 35,7,7,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
1,11:10,1,10,STL 20,7,7,Nick Foles pass complete short right to Tavon Austin for 1 yard (tackle by Kyle Fuller),0.280,-0.130
1,10:36,2,9,STL 21,7,7,Todd Gurley right tackle for 1 yard (tackle by Lamarr Houston and Shea McClellin),-0.130,-0.690
1,9:55,3,8,STL 22,7,7,Nick Foles pass complete short left to Bradley Marquez for 8 yards (tackle by Bryce Callahan),-0.690,0.940
1,9:08,1,10,STL 30,7,7,Todd Gurley middle for 4 yards (tackle by Shea McClellin),0.940,0.930
1,8:33,2,6,STL 34,7,7,Todd Gurley right tackle for no gain (tackle by Shea McClellin and Will Sutton),0.930,0.230
1,7:50,3,6,STL 34,7,7,Nick Foles pass incomplete short left intended for Wes Welker,0.230,-1.110
1,7:37,4,6,STL 34,7,7,"Johnny Hekker punts 45 yards, returned by Marc Mariani for 1 yard (tackle by Bradley Marquez). Marc Mariani fumbles (forced by Bradley Marquez), recovered by Maurice Alexander at CHI-20 and returned for 3 yards",-1.110,4.440
1,7:32,1,10,CHI 17,7,7,"Tavon Austin left end for 17 yards. Penalty on Greg Robinson: Offensive Holding, 10 yards (no play)",4.440,3.780
1,7:24,1,20,CHI 27,7,7,Tavon Austin right end for 12 yards (tackle by Antrel Rolle),3.780,4.150
1,6:44,2,8,CHI 15,7,7,Todd Gurley left tackle for 1 yard (tackle by Willie Young),4.150,3.500
1,5:57,3,7,CHI 14,7,7,Nick Foles pass complete short left to Wes Welker for 6 yards (tackle by Adrian Amos),3.500,2.990
1,5:12,4,1,CHI 8,7,10,Greg Zuerlein 26 yard field goal good,2.990,3.000
1,5:12,,,STL 35,7,10,"Greg Zuerlein kicks off 65 yards, returned by Marc Mariani for 12 yards (tackle by Cody Davis)",0.000,0.350
1,5:04,1,10,CHI 12,7,10,Jeremy Langford left tackle for 5 yards (tackle by Nick Fairley and Aaron Donald),-0.350,-0.230
1,4:28,2,5,CHI 17,7,10,Jay Cutler pass complete short middle to Jeremy Langford for 5 yards (tackle by James Laurinaitis and Mark Barron),-0.230,0.410
1,3:47,1,10,CHI 22,7,10,Jeremy Langford left guard for 2 yards (tackle by Nick Fairley),0.410,0.140
1,3:04,2,8,CHI 24,7,10,Jay Cutler pass complete short right to Alshon Jeffery for 10 yards (tackle by Janoris Jenkins),0.140,1.200
1,2:28,1,10,CHI 34,7,10,Jeremy Langford right guard for 1 yard (tackle by Nick Fairley),1.200,0.790
1,1:57,2,9,CHI 35,7,10,Jay Cutler pass complete short left to Zach Miller for 7 yards (tackle by T.J. McDonald),0.790,1.030
1,1:12,3,2,CHI 42,7,10,Jay Cutler pass incomplete short right intended for Jeremy Langford,1.030,-0.590
1,1:08,4,2,CHI 42,7,10,"Pat O'Donnell punts 42 yards, fair catch by Tavon Austin",-0.590,0.140
