Quarter,Time,Tm,Detail,CIN,STL
1.0,1:59,Rams,Marshall Faulk 1 yard rush (Jeff Wilkins kick),0,7
2.0,8:40,Bengals,Kelley Washington 2 yard pass from Jon Kitna (Shayne Graham kick),7,7
,4:39,Rams,Jeff Wilkins 26 yard field goal,7,10
,0:47,Rams,Torry Holt 28 yard pass from Marc Bulger (Jeff Wilkins kick),7,17
,0:00,Bengals,Shayne Graham 48 yard field goal,10,17
3.0,3:25,Rams,Jeff Wilkins 50 yard field goal,10,20
4.0,14:08,Rams,Marshall Faulk 9 yard pass from Marc Bulger (Jeff Wilkins kick),10,27
