Quarter,Time,Down,ToGo,Location,CIN,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,CIN 30,0,0,"Shayne Graham kicks off 69 yards, returned by Arlen Harris for 21 yards (tackle by Riall Johnson)",0.000,0.410
1,14:55,1,10,STL 22,0,0,Marc Bulger pass complete to Marshall Faulk for 12 yards (tackle by Adrian Ross),0.410,1.200
1,14:15,1,10,STL 34,0,0,Marshall Faulk left end for 9 yards (tackle by Tory James),1.200,1.870
1,13:41,2,1,STL 43,0,0,Marshall Faulk right guard for 3 yards (tackle by Kevin Hardy),1.870,1.990
1,12:58,1,10,STL 46,0,0,"Marshall Faulk left end for -2 yards (tackle by Justin Smith). Penalty on Justin Smith: Face Mask (5 Yards), 5 yards",1.990,2.430
1,12:25,1,7,STL 49,0,0,Marc Bulger pass incomplete intended for Mike Furrey is intercepted by Tory James at CIN-17,2.430,0.060
1,12:22,1,10,CIN 17,0,0,Corey Dillon up the middle for 3 yards (tackle by Tommy Polley and Ryan Pickett),-0.060,-0.060
1,11:51,2,7,CIN 20,0,0,Corey Dillon right tackle for 22 yards (tackle by Pisa Tinoisamoa),-0.060,1.730
1,11:17,1,10,CIN 42,0,0,Jon Kitna pass incomplete intended for Kelley Washington,1.730,1.190
1,11:11,2,10,CIN 42,0,0,Rudi Johnson right guard for 5 yards (tackle by Aeneas Williams),1.190,1.160
1,10:41,3,5,CIN 47,0,0,Jon Kitna pass complete to Kevin Walter for 4 yards (tackle by Jason Sehorn),1.160,0.000
1,10:21,4,1,STL 49,0,0,"Kyle Richardson punts 49 yards, touchback",0.000,-0.280
1,10:08,1,10,STL 20,0,0,Marshall Faulk left guard for 3 yards (tackle by Adrian Ross),0.280,0.140
1,9:30,2,7,STL 23,0,0,Marc Bulger pass complete to Brandon Manumaleuna for 3 yards (tackle by Brian Simmons),0.140,-0.160
1,8:47,3,4,STL 26,0,0,"Penalty on Andy McCollum: False Start, 5 yards (no play)",-0.160,-0.820
1,8:23,3,9,STL 21,0,0,"Marc Bulger sacked by Justin Smith for -1 yards. Marc Bulger fumbles (forced by Justin Smith), recovered by Marc Bulger at STL-14",-0.820,-2.030
1,7:51,4,10,STL 20,0,0,"Sean Landeta punts 51 yards, returned by Jeff Burris for 12 yards (tackle by Rich Coady)",-2.030,-1.660
1,7:37,1,10,CIN 41,0,0,Jon Kitna pass incomplete intended for Chad Ochocinco (defended by Tommy Polley),1.660,1.120
1,7:32,2,10,CIN 41,0,0,Corey Dillon left tackle for 3 yards (tackle by Leonard Little),1.120,0.830
1,7:00,3,7,CIN 44,0,0,Jon Kitna pass incomplete intended for Chad Ochocinco is intercepted by Tommy Polley at STL-43 and returned for 6 yards (tackle by Chad Ochocinco),0.830,-2.190
1,6:52,1,10,STL 49,0,0,Marc Bulger pass complete to Torry Holt for 23 yards (tackle by Tory James),2.190,3.710
1,6:25,1,10,CIN 28,0,0,Marc Bulger pass complete to Torry Holt for 5 yards (tackle by Brian Simmons),3.710,3.840
1,5:46,2,5,CIN 23,0,0,Marc Bulger pass incomplete intended for Dane Looker,3.840,3.140
1,5:37,3,5,CIN 23,0,0,Marc Bulger pass complete to Dane Looker for 7 yards (tackle by Kevin Kaesviharn),3.140,4.510
1,4:52,1,10,CIN 16,0,0,Marshall Faulk left guard for 4 yards (tackle by Oliver Gibson and Glen Steele),4.510,4.570
1,4:07,2,6,CIN 12,0,0,Marc Bulger pass complete to Dane Looker for 9 yards (tackle by Kevin Kaesviharn),4.570,6.510
1,3:22,1,3,CIN 3,0,0,Marshall Faulk up the middle for 1 yard (tackle by Kevin Kaesviharn),6.510,5.720
1,2:44,2,2,CIN 2,0,0,Marshall Faulk right tackle for 1 yard (tackle by Kevin Hardy and Kevin Kaesviharn),5.720,5.170
1,2:02,,,,0,0,Timeout #1 by St. Louis Rams,0.000,5.170
1,2:02,3,1,CIN 1,0,6,"Marshall Faulk left tackle for 1 yard, touchdown",5.170,7.000
1,,,,CIN 2,0,7,Jeff Wilkins kicks extra point good,0.000,0.000
1,,,,STL 30,0,7,"Jeff Wilkins kicks off 67 yards, returned by Brandon Bennett for 28 yards (tackle by Jamie Duncan)",0.000,1.000
1,1:52,1,10,CIN 31,0,7,Jon Kitna pass complete to Kelley Washington for 12 yards (tackle by Pisa Tinoisamoa),1.000,1.800
1,1:20,1,10,CIN 43,0,7,"Penalty on Grant Wistrom: Encroachment, 5 yards (no play)",1.800,2.530
1,1:03,1,5,CIN 48,0,7,Rudi Johnson left tackle for -1 yards (tackle by Adam Archuleta),2.530,1.790
1,0:28,2,6,CIN 47,0,7,Jon Kitna pass complete to Chad Ochocinco for 5 yards (tackle by Travis Fisher),1.790,1.750
Quarter,Time,Down,ToGo,Location,CIN,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,STL 48,0,7,Rudi Johnson right guard for no gain (tackle by Ryan Pickett),1.750,0.070
2,14:43,4,1,STL 48,0,7,Rudi Johnson right tackle for no gain (tackle by Tommy Polley and Jerametrius Butler),0.070,-2.130
2,14:38,1,10,STL 48,0,7,Marc Bulger pass incomplete intended for Dane Looker,2.130,1.580
2,14:34,2,10,STL 48,0,7,"Penalty on Marc Bulger: Delay of Game, 5 yards (no play)",1.580,0.910
2,14:34,2,15,STL 43,0,7,Marc Bulger pass complete to Marshall Faulk for 13 yards (tackle by Duane Clemons),0.910,1.950
2,13:49,3,2,CIN 44,0,7,Marc Bulger pass complete to Dane Looker for 1 yard (tackle by Mark Roman),1.950,0.400
2,13:22,4,1,CIN 43,0,7,Marshall Faulk left guard for no gain (tackle by Kevin Kaesviharn and Riall Johnson),0.400,-1.800
2,13:14,1,10,CIN 43,0,7,Kelley Washington left end for 5 yards (tackle by Adam Archuleta),1.800,1.930
2,12:56,2,5,CIN 48,0,7,Jon Kitna pass complete to Chad Ochocinco for 8 yards (tackle by Travis Fisher),1.930,2.650
2,12:19,1,10,STL 44,0,7,Rudi Johnson right tackle for 5 yards (tackle by Leonard Little and Grant Wistrom),2.650,2.780
2,11:37,2,5,STL 39,0,7,Jon Kitna pass complete to Chad Ochocinco for 2 yards (tackle by Travis Fisher),2.780,2.350
2,11:01,3,3,STL 37,0,7,Brandon Bennett left end for 12 yards (tackle by Jason Sehorn),2.350,3.910
2,10:23,1,10,STL 25,0,7,Jon Kitna pass complete to Rudi Johnson for 14 yards (tackle by Aeneas Williams),3.910,4.840
2,10:01,1,10,STL 11,0,7,Rudi Johnson right tackle for no gain (tackle by Adam Archuleta),4.840,4.140
2,9:24,2,10,STL 11,0,7,Jon Kitna pass complete to Chad Ochocinco for 9 yards (tackle by Aeneas Williams),4.140,5.120
2,8:43,,,,0,7,Timeout #1 by Cincinnati Bengals,0.000,5.120
2,8:43,3,1,STL 2,6,7,"Jon Kitna pass complete to Kelley Washington for 2 yards, touchdown",5.120,7.000
2,,,,STL 2,7,7,Shayne Graham kicks extra point good,0.000,0.000
2,,,,CIN 30,7,7,"Shayne Graham kicks off 64 yards, returned by Arlen Harris for 19 yards (tackle by Riall Johnson)",0.000,0.610
2,8:35,1,10,STL 25,7,7,Marc Bulger pass complete to Marshall Faulk for -1 yards (tackle by Rogers Beckett),0.610,-0.070
2,7:53,2,11,STL 24,7,7,Marc Bulger pass complete to Torry Holt for 22 yards (tackle by Artrell Hawkins),-0.070,1.990
2,7:13,1,10,STL 46,7,7,Marshall Faulk right guard for 26 yards (tackle by Brian Simmons),1.990,3.710
2,6:27,1,10,CIN 28,7,7,Marc Bulger pass complete to Brandon Manumaleuna for 7 yards (tackle by Mark Roman),3.710,4.110
