Unnamed: 0,CIN,STL
First Downs,14,23
Rush-Yds-TDs,23-99-0,31-143-1
Cmp-Att-Yd-TD-INT,16-29-202-1-3,24-38-229-2-1
Sacked-Yards,3-15,1-1
Net Pass Yards,187,228
Total Yards,286,371
Fumbles-Lost,0-0,2-0
Turnovers,3,1
Penalties-Yards,5-38,6-40
Third Down Conv.,4-13,10-16
Fourth Down Conv.,0-1,0-1
Time of Possession,24:42,35:18
