Unnamed: 0,KAN,SFO
First Downs,14,22
Rush-Yds-TDs,16-80-1,35-155-2
Cmp-Att-Yd-TD-INT,15-27-193-0-0,25-35-175-0-1
Sacked-Yards,3-17,3-7
Net Pass Yards,176,168
Total Yards,256,323
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,4-37,3-15
Third Down Conv.,4-11,11-18
Fourth Down Conv.,0-1,1-1
Time of Possession,21:26,38:34
