Quarter,Time,Down,ToGo,Location,KAN,SFO,Detail,EPB,EPA
1,3:09,2,1,SFO 11,0,3,"Priest Holmes right tackle for 11 yards. Penalty on Jason Dunn: Offensive Holding, 12 yards (no play)",5.260,3.290
1,3:03,2,13,SFO 23,0,3,Trent Green pass incomplete intended for Marc Boerigter,3.290,2.610
1,2:57,3,13,SFO 23,0,3,Trent Green middle for 7 yards (tackle by Tony Parrish),2.610,2.400
1,2:17,4,6,SFO 16,3,3,Morten Andersen 33 yard field goal good,2.400,3.000
1,2:17,,,KAN 30,3,3,"Morten Andersen kicks off 51 yards, returned by Kyle Kosier for 10 yards (tackle by Monty Beisel)",0.000,0.870
1,2:08,1,10,SFO 29,3,3,Jeff Garcia pass complete to Cedrick Wilson for 1 yard (tackle by Scott Fujita),0.870,0.460
1,1:28,2,9,SFO 30,3,3,Jeff Garcia pass complete to Cedrick Wilson for 7 yards (tackle by Marvcus Patton),0.460,0.700
1,0:49,3,2,SFO 37,3,3,Fred Beasley middle for 4 yards (tackle by Marvcus Patton and Eric Hicks),0.700,1.660
1,0:14,1,10,SFO 41,3,3,Fred Beasley right end for 6 yards (tackle by Mike Maslowski and Eric Warfield),1.660,1.930
Quarter,Time,Down,ToGo,Location,KAN,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,SFO 47,3,3,Kevan Barlow right guard for 2 yards (tackle by Shaunard Harts and Mike Maslowski),1.930,1.490
2,14:17,3,2,SFO 49,3,3,Jeff Garcia pass complete to Tai Streets for 4 yards (tackle by Mike Maslowski),1.490,2.460
2,13:38,1,10,KAN 47,3,3,Jeff Garcia pass complete to Tai Streets for 15 yards (tackle by Eric Warfield),2.460,3.450
2,13:02,1,10,KAN 32,3,3,Kevan Barlow left end for 11 yards (tackle by Greg Wesley),3.450,4.170
2,12:17,1,10,KAN 21,3,3,Terrell Owens left end for 19 yards (tackle by Eric Warfield),4.170,6.740
2,11:45,1,2,KAN 2,3,3,Jeff Garcia sacked by Ray Crockett for -3 yards,6.740,5.150
2,11:18,2,5,KAN 5,3,9,"Garrison Hearst right tackle for 5 yards, touchdown",5.150,7.000
2,11:18,,,KAN 5,3,10,Jose Cortez kicks extra point good,0.000,0.000
2,11:18,,,SFO 30,3,10,"Jose Cortez kicks off 56 yards, returned by Dante Hall for 36 yards (tackle by John Keith)",0.000,2.260
2,11:06,1,10,,3,10,Trent Green pass complete to Eddie Kennison for 21 yards (tackle by Ronnie Heard),2.260,3.640
2,10:28,1,10,SFO 29,3,10,Priest Holmes left end for 11 yards (tackle by Tony Parrish),3.640,4.370
2,10:28,1,10,SFO 18,3,10,Trent Green pass complete to Tony Gonzalez for 6 yards (tackle by Ahmed Plummer),4.370,4.810
2,9:11,2,4,SFO 12,9,10,"Priest Holmes right tackle for 12 yards, touchdown",4.810,7.000
2,9:11,,,SFO 12,10,10,Morten Andersen kicks extra point good,0.000,0.000
2,9:11,,,KAN 30,10,10,"Morten Andersen kicks off 54 yards, returned by Jimmy Williams for 26 yards (tackle by Gary Stills)",0.000,1.730
2,8:59,1,10,SFO 42,10,10,Jeff Garcia pass incomplete intended for Tai Streets,1.730,1.190
2,8:54,2,10,SFO 42,10,10,Garrison Hearst middle for 3 yards (tackle by Eric Downing),1.190,0.890
2,8:14,3,7,SFO 45,10,10,Jeff Garcia left guard for 7 yards (tackle by Gary Stills),0.890,2.390
2,7:34,1,10,KAN 48,10,10,Garrison Hearst right guard for 4 yards (tackle by Greg Wesley),2.390,2.390
2,7:09,2,6,KAN 44,10,10,Jeff Garcia pass complete to Tai Streets for 18 yards (tackle by Shaunard Harts and Mike Maslowski),2.390,3.840
2,6:26,1,10,KAN 26,10,10,Garrison Hearst right guard for 2 yards (tackle by Mike Maslowski and Eric Downing),3.840,3.570
2,5:46,2,8,KAN 24,10,10,"Penalty on Terrell Owens: False Start, 5 yards (no play)",3.570,2.890
2,5:30,2,13,KAN 29,10,10,Jeff Garcia pass complete to Justin Swift for 8 yards (tackle by Greg Wesley),2.890,3.270
2,4:48,3,5,KAN 21,10,10,Jeff Garcia pass complete to Garrison Hearst for 6 yards (tackle by Greg Wesley),3.270,4.580
2,4:08,1,10,KAN 15,10,10,Terrell Owens right end for 4 yards (tackle by Greg Wesley),4.580,4.640
2,3:25,2,6,KAN 11,10,10,Jeff Garcia pass complete to Terrell Owens for 5 yards (tackle by William Bartee),4.640,4.900
2,2:45,3,1,KAN 6,10,16,"Kevan Barlow left end for 6 yards, touchdown",4.900,7.000
2,2:45,,,KAN 6,10,17,Jose Cortez kicks extra point good,0.000,0.000
2,2:45,,,SFO 30,10,17,"Jose Cortez kicks off 62 yards, returned by Dante Hall for 17 yards (tackle by Paul Smith)",0.000,0.610
2,2:34,1,10,KAN 25,10,17,Priest Holmes middle for 1 yard (tackle by Dana Stubblefield),0.610,0.200
2,2:12,2,9,KAN 26,10,17,Trent Green pass incomplete intended for Eddie Kennison,0.200,-0.490
2,2:07,3,9,KAN 26,10,17,Trent Green sacked by Dana Stubblefield for -6 yards,-0.490,-2.030
2,2:00,4,15,KAN 20,10,17,Dan Stryzinski punts 25 yards,-2.030,-2.590
2,1:53,1,10,KAN 45,10,17,Jeff Garcia pass incomplete intended for Terrell Owens,2.590,2.040
2,1:47,2,10,KAN 45,10,17,Garrison Hearst left guard for 5 yards (tackle by Greg Wesley and Ray Crockett),2.040,2.010
2,1:09,3,5,KAN 40,10,17,Jeff Garcia pass complete to Terrell Owens for 17 yards (tackle by Gary Stills),2.010,4.040
2,0:33,1,10,KAN 23,10,17,Jeff Garcia pass incomplete intended for Terrell Owens,4.040,3.500
2,0:29,2,10,KAN 23,10,17,Jeff Garcia pass complete to Garrison Hearst for 9 yards (tackle by William Bartee),3.500,4.280
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,0:21,2,10,KAN 23,,,Timeout #2 by San Francisco 49ers,3.500,4.280
2,0:21,3,1,KAN 14,10,17,Garrison Hearst left guard for 1 yard (tackle by Duane Clemons and Shaunard Harts),4.280,4.710
2,0:08,1,10,KAN 13,10,17,Jeff Garcia pass incomplete,4.710,4.050
2,0:07,1,10,KAN 13,,,Timeout #3 by San Francisco 49ers,4.710,4.050
2,0:07,2,10,KAN 13,10,17,Jeff Garcia pass incomplete intended for Tai Streets is intercepted by Eric Warfield at KAN-3 and returned for 1 yard,4.050,0.000
Quarter,Time,Down,ToGo,Location,KAN,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 30,10,17,"Jose Cortez kicks off 47 yards, muffed catch by Rich Owens, recovered by Rich Owens and returned for no gain",0.000,0.740
3,14:56,1,10,KAN 27,10,17,Johnnie Morton left end for 13 yards (tackle by Tony Parrish),0.740,1.600
3,14:16,1,10,KAN 40,10,17,Trent Green pass complete to Priest Holmes for -1 yards (tackle by Tony Parrish and Jeff Ulbrich),1.600,0.920
3,13:30,2,11,KAN 39,10,17,Trent Green pass incomplete intended for Dante Hall,0.920,0.230
3,13:25,3,11,KAN 39,10,17,Trent Green pass complete to Eddie Kennison for 17 yards (tackle by Ahmed Plummer),0.230,2.650
3,12:47,1,10,SFO 44,10,17,Dante Hall left end for -1 yards (tackle by Andre Carter and Jim Flanigan),2.650,1.980
3,12:05,2,11,SFO 45,10,17,"Trent Green pass incomplete intended for Dante Hall is intercepted by Ronnie Heard at SFO-1. Penalty on Bryant Young: Encroachment, 5 yards (no play)",1.980,2.650
3,11:58,2,6,SFO 40,10,17,Trent Green pass incomplete intended for Priest Holmes (defended by Derek Smith),2.650,1.950
3,11:51,3,6,SFO 40,10,17,Trent Green pass incomplete intended for Tony Gonzalez,1.950,0.590
3,11:42,4,6,SFO 40,10,17,"Dan Stryzinski punts 40 yards, touchback",0.590,-0.280
3,11:31,1,10,SFO 20,10,17,Garrison Hearst left tackle for 1 yard (tackle by John Browning),0.280,-0.130
3,10:55,2,9,SFO 21,10,17,Garrison Hearst right end for 5 yards (tackle by Marvcus Patton),-0.130,-0.160
3,10:17,3,4,SFO 26,10,17,Jeff Garcia pass complete to Terrell Owens for 8 yards (tackle by Eric Warfield),-0.160,1.200
3,9:33,1,10,SFO 34,10,17,Jeff Garcia pass complete to Fred Beasley for 3 yards (tackle by Scott Fujita),1.200,1.060
3,8:45,2,7,SFO 37,10,17,Jeff Garcia pass complete to Fred Beasley for 4 yards (tackle by Mike Maslowski),1.060,0.890
3,7:58,3,3,SFO 41,10,17,Jeff Garcia pass complete to Fred Beasley for 9 yards (tackle by Marvcus Patton),0.890,2.260
3,7:11,1,10,,10,17,Jeff Garcia pass incomplete intended for Kevan Barlow (defended by Rich Owens),2.260,1.710
3,7:06,2,10,,10,17,Garrison Hearst left end for 17 yards (tackle by Greg Wesley),1.710,3.380
3,6:18,1,10,KAN 33,10,17,Garrison Hearst left end for 6 yards (tackle by William Bartee),3.380,3.650
3,5:51,2,4,KAN 27,10,17,Jeff Garcia pass complete to Justin Swift for -1 yards (tackle by Mike Maslowski),3.650,2.810
3,5:09,3,5,KAN 28,10,17,Jeff Garcia sacked by Eddie Freeman for 0 yards,2.810,1.630
3,5:09,4,5,KAN 28,10,17,Jose Cortez 46 yard field goal no good,1.630,-1.400
3,4:30,1,10,KAN 37,10,17,Priest Holmes for 5 yards (tackle by Ahmed Plummer),1.400,1.530
3,3:59,2,5,KAN 42,10,17,Tony Richardson middle for 2 yards (tackle by Andre Carter),1.530,1.090
3,3:21,3,3,KAN 44,10,17,Trent Green pass complete to Eddie Kennison for 9 yards (tackle by Mike Rumph),1.090,2.460
3,2:42,1,10,SFO 47,10,17,"Priest Holmes left tackle for 44 yards (tackle by Julian Peterson). Penalty on Tony Gonzalez: Offensive Holding, 10 yards (no play)",2.460,1.800
3,2:03,1,20,KAN 43,10,17,Trent Green pass complete to Mike Cloud for 4 yards (tackle by Dana Stubblefield),1.800,1.100
3,1:21,2,16,KAN 47,10,17,Priest Holmes middle for 3 yards (tackle by Bryant Young),1.100,0.830
3,0:44,3,13,,10,17,Trent Green pass complete to Marc Boerigter for 24 yards (tackle by Julian Peterson),0.830,3.840
Quarter,Time,Down,ToGo,Location,KAN,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SFO 26,10,17,Priest Holmes right end for 1 yard (tackle by Julian Peterson),3.840,3.430
4,14:35,2,9,SFO 25,10,17,Trent Green pass incomplete intended for Tony Gonzalez,3.430,2.740
4,14:30,3,9,SFO 25,10,17,Trent Green pass incomplete intended for Dante Hall (defended by Ahmed Plummer),2.740,1.800
4,14:26,4,9,SFO 25,13,17,Morten Andersen 43 yard field goal good,1.800,3.000
4,14:26,,,KAN 30,13,17,"Morten Andersen kicks off 54 yards, returned by Jimmy Williams for 16 yards (tackle by Larry Atkins)",0.000,1.070
4,14:14,1,10,SFO 32,13,17,Jeff Garcia sacked by Duane Clemons for -4 yards,1.070,-0.010
4,13:47,2,14,SFO 28,13,17,Kevan Barlow middle for 4 yards (tackle by Eric Hicks and Greg Wesley),-0.010,-0.160
4,13:08,3,10,SFO 32,13,17,Jeff Garcia pass incomplete intended for J.J. Stokes,-0.160,-1.240
4,13:02,4,10,SFO 32,13,17,"Jason Baker punts 33 yards, returned by Dante Hall for 6 yards (tackle by Jimmy Williams). Penalty on Monty Beisel: Illegal Block Above the Waist, 10 yards",-1.240,-0.740
4,12:50,1,10,KAN 27,13,17,Trent Green pass complete to Tony Richardson for 2 yards (tackle by Jeff Ulbrich),0.740,0.470
4,12:15,2,8,KAN 29,13,17,Priest Holmes left tackle for no gain (tackle by Bryant Young),0.470,-0.230
4,11:30,3,8,KAN 29,13,17,Trent Green pass incomplete intended for Tony Gonzalez (defended by Chike Okeafor),-0.230,-1.440
4,11:24,4,8,KAN 29,13,17,"Dan Stryzinski punts 37 yards, returned by Jimmy Williams for 2 yards (tackle by Monty Beisel)",-1.440,-1.330
4,11:13,1,10,SFO 36,13,17,Jeff Garcia pass incomplete intended for Terrell Owens,1.330,0.790
4,11:11,2,10,SFO 36,13,17,Jeff Garcia pass complete to Terrell Owens for 5 yards (tackle by Scott Fujita),0.790,0.760
4,10:46,3,5,SFO 41,13,17,Jeff Garcia pass complete to Terrell Owens for 3 yards (tackle by William Bartee),0.760,-0.460
4,10:02,4,2,SFO 44,13,17,"Jason Baker punts 33 yards, returned by Dante Hall for 1 yard (tackle by Brian Jennings)",-0.460,-0.540
4,9:49,1,10,KAN 24,13,17,Trent Green pass complete to Marc Boerigter for 18 yards (tackle by Ronnie Heard),0.540,1.730
4,9:09,1,10,KAN 42,13,17,Priest Holmes right guard for 2 yards (tackle by Julian Peterson and Derek Smith),1.730,1.460
4,8:29,2,8,KAN 44,13,17,Trent Green pass complete to Priest Holmes for 6 yards (tackle by Julian Peterson),1.460,1.550
4,7:55,3,2,,13,17,Trent Green sacked by Andre Carter for -10 yards,1.550,-0.720
4,7:26,4,12,KAN 40,13,17,"Dan Stryzinski punts 44 yards, fair catch by Jimmy Williams",-0.720,0.140
4,7:18,1,10,SFO 16,13,17,Kevan Barlow right guard for 6 yards (tackle by Marvcus Patton),-0.140,0.280
4,6:42,2,4,SFO 22,13,17,Kevan Barlow right guard for 2 yards (tackle by John Browning),0.280,-0.320
4,6:00,3,2,SFO 24,13,17,Fred Beasley right guard for 5 yards (tackle by Shaunard Harts),-0.320,0.870
4,5:24,1,10,SFO 29,13,17,Jeff Garcia pass complete to Kevan Barlow for 9 yards (tackle by John Browning),0.870,1.540
4,4:51,2,1,SFO 38,13,17,Fred Beasley left guard for 3 yards (tackle by William Bartee),1.540,1.660
4,4:05,1,10,SFO 41,13,17,Garrison Hearst middle for 12 yards (tackle by William Bartee),1.660,2.460
4,3:19,1,10,KAN 47,13,17,Kevan Barlow middle for 2 yards (tackle by Rich Owens),2.460,2.180
4,3:10,1,10,KAN 47,,,Timeout #1 by Kansas City Chiefs,2.460,2.460
4,3:10,1,10,KAN 47,,,Timeout #1 by San Francisco 49ers,2.460,2.180
4,3:10,2,8,KAN 45,13,17,Kevan Barlow right tackle for 1 yard (tackle by Mike Maslowski),2.180,1.620
4,2:58,2,8,KAN 45,,,Timeout #2 by Kansas City Chiefs,2.180,1.620
4,2:58,3,7,KAN 44,13,17,Garrison Hearst left guard for 3 yards (tackle by Larry Atkins),1.620,0.530
4,2:58,4,4,KAN 41,13,17,"Penalty on SFO: Delay of Game, 5 yards (no play)",0.530,0.200
4,2:08,4,9,KAN 46,13,17,"Jason Baker punts 35 yards, fair catch by Dante Hall",0.200,0.370
4,2:00,1,10,KAN 11,13,17,Trent Green pass complete to Eddie Kennison for 23 yards,-0.370,1.200
4,1:55,1,10,KAN 34,13,17,Trent Green pass complete to Eddie Kennison for 17 yards (tackle by Mike Rumph),1.200,2.320
4,1:50,1,10,SFO 49,13,17,Trent Green pass complete to Eddie Kennison for 13 yards,2.320,3.180
4,1:44,1,10,SFO 36,13,17,Trent Green pass incomplete intended for Tony Gonzalez,3.180,2.640
4,1:39,2,10,SFO 36,13,17,Trent Green sacked by Chike Okeafor for -1 yards,2.640,1.820
4,1:17,3,11,SFO 37,13,17,Trent Green pass incomplete intended for Eddie Kennison (defended by Mike Rumph),1.820,0.790
4,1:12,4,11,SFO 37,13,17,Trent Green pass incomplete intended for Tony Gonzalez (defended by Julian Peterson),0.790,-1.400
4,1:07,1,10,SFO 37,13,17,Jeff Garcia kneels for -1 yards,1.400,0.720
4,1:01,1,10,SFO 37,,,Timeout #3 by Kansas City Chiefs,1.400,0.720
4,1:01,2,11,SFO 36,13,17,Jeff Garcia kneels for no gain,0.720,0.040
4,0:35,3,11,SFO 36,13,17,Jeff Garcia kneels for -1 yards,0.040,-1.040
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
