Unnamed: 0,GNB,OAK
First Downs,18,20
Rush-Yds-TDs,28-103-1,25-120-0
Cmp-Att-Yd-TD-INT,22-39-204-1-1,23-47-276-2-2
Sacked-Yards,2-14,3-24
Net Pass Yards,190,252
Total Yards,293,372
Fumbles-Lost,1-1,0-0
Turnovers,2,2
Penalties-Yards,6-75,10-95
Third Down Conv.,4-13,5-17
Fourth Down Conv.,0-0,1-4
Time of Possession,29:29,30:31
