Quarter,Time,Tm,Detail,GNB,OAK
1.0,5:08,Packers,John Kuhn 5 yard rush (Mason Crosby kick),7,0
,4:53,Packers,Damarious Randall 43 yard interception return (Mason Crosby kick),14,0
2.0,14:53,Raiders,Sebastian Janikowski 23 yard field goal,14,3
,8:36,Raiders,Sebastian Janikowski 30 yard field goal,14,6
,0:20,Raiders,Amari Cooper 19 yard pass from Derek Carr (Sebastian Janikowski kick),14,13
3.0,10:18,Packers,Mason Crosby 24 yard field goal,17,13
,6:48,Raiders,Amari Cooper 26 yard pass from Derek Carr (Sebastian Janikowski kick),17,20
,5:46,Packers,James Jones 30 yard pass from Aaron Rodgers (Mason Crosby kick),24,20
4.0,10:01,Packers,Mason Crosby 21 yard field goal,27,20
,4:25,Packers,Mason Crosby 33 yard field goal,30,20
