Unnamed: 0,MIN,DEN
First Downs,19,18
Rush-Yds-TDs,21-113-1,24-144-1
Cmp-Att-Yd-TD-INT,27-41-269-1-0,17-27-213-1-2
Sacked-Yards,7-57,2-13
Net Pass Yards,212,200
Total Yards,325,344
Fumbles-Lost,3-1,0-0
Turnovers,1,2
Penalties-Yards,9-63,8-40
Third Down Conv.,6-16,2-9
Fourth Down Conv.,2-2,1-1
Time of Possession,33:54,26:06
