Quarter,Time,Down,ToGo,Location,MIN,DEN,Detail,EPB,EPA
2,11:35,1,10,DEN 28,0,9,"Ronnie Hillman left end for 72 yards, touchdown",0.810,7.000
2,11:35,,,MIN 28,0,10,Brandon McManus kicks extra point good,0.000,0.000
2,11:35,,,DEN 35,0,10,"Brandon McManus kicks off 69 yards, returned by Cordarrelle Patterson for 14 yards (tackle by Cody Latimer). Penalty on Antone Exum: Illegal Block Above the Waist, 5 yards",0.000,0.380
2,11:16,1,10,MIN 5,0,10,Adrian Peterson left tackle for -1 yards (tackle by DeMarcus Ware and Sylvester Williams),-0.380,-0.850
2,10:41,2,11,MIN 4,0,10,Adrian Peterson right tackle for 2 yards (tackle by Von Miller),-0.850,-1.300
2,9:58,3,9,MIN 6,0,10,Teddy Bridgewater pass incomplete short left intended for Kyle Rudolph,-1.300,-2.490
2,9:53,4,9,MIN 6,0,10,"Jeff Locke punts 51 yards, fair catch by Emmanuel Sanders",-2.490,-1.800
2,9:44,1,10,DEN 43,0,10,C.J. Anderson middle for 4 yards (tackle by Sharrif Floyd and Anthony Barr),1.800,1.790
2,9:08,2,6,DEN 47,0,10,Peyton Manning pass complete short middle to Demaryius Thomas for 30 yards (tackle by Terence Newman),1.790,4.040
2,8:39,1,10,MIN 23,0,10,"Penalty on Everson Griffen: Neutral Zone Infraction, 5 yards (no play)",4.040,4.860
2,8:28,1,5,MIN 18,0,10,C.J. Anderson middle for no gain (tackle by Anthony Barr),4.860,4.210
2,7:57,2,5,MIN 18,0,10,Peyton Manning pass complete short left to Demaryius Thomas for 1 yard (tackle by Captain Munnerlyn),4.210,4.210
2,7:11,2,5,MIN 18,0,10,Timeout #1 by Denver Broncos,4.210,3.660
2,7:11,3,4,MIN 17,0,10,"Peyton Manning pass complete short left to Emmanuel Sanders for 7 yards (tackle by Harrison Smith). Penalty on Ryan Harris: Illegal Formation, 5 yards (no play)",3.660,2.940
2,6:39,3,9,MIN 22,0,10,Peyton Manning sacked by Brian Robison for -7 yards,2.940,1.500
2,6:02,4,16,MIN 29,0,13,Brandon McManus 47 yard field goal good,1.500,3.000
2,6:02,,,DEN 35,0,13,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
2,5:57,1,10,MIN 20,0,13,Teddy Bridgewater pass complete short middle to Adam Thielen for 9 yards (tackle by Aqib Talib),0.280,0.950
2,5:22,2,1,MIN 29,0,13,Adrian Peterson right tackle for 4 yards (tackle by T.J. Ward),0.950,1.140
2,4:44,1,10,MIN 33,0,13,Teddy Bridgewater pass incomplete short left intended for Stefon Diggs,1.140,0.590
2,4:38,2,10,MIN 33,0,13,Matt Asiata middle for 3 yards (tackle by Brandon Marshall),0.590,0.300
2,3:56,3,7,MIN 36,0,13,"Teddy Bridgewater sacked by DeMarcus Ware and Von Miller for -14 yards. Penalty on Aqib Talib: Defensive Holding, 5 yards (no play)",0.300,1.660
2,3:17,1,10,MIN 41,0,13,Adrian Peterson right tackle for 3 yards (tackle by Shaquil Barrett and Brandon Marshall),1.660,1.530
2,2:39,2,7,MIN 44,0,13,". Stefon Diggs fumbles (forced by Darian Stewart), recovered by Stefon Diggs at DEN-31",1.530,3.510
,,,,,,,"DEN challenged the pass completion ruling, and the play was upheld.",,
2,2:11,1,10,DEN 31,0,13,Teddy Bridgewater pass incomplete short middle intended for Stefon Diggs (defended by Bradley Roby),3.510,2.970
2,2:07,2,10,DEN 31,0,13,Teddy Bridgewater pass incomplete short left intended for Mike Wallace,2.970,2.280
2,2:04,3,10,DEN 31,0,13,Teddy Bridgewater middle for 11 yards (tackle by DeMarcus Ware),2.280,4.240
2,1:57,1,10,DEN 20,0,13,Teddy Bridgewater pass incomplete short middle intended for MyCole Pruitt (defended by Danny Trevathan),4.240,3.690
2,1:53,2,10,DEN 20,0,13,Teddy Bridgewater pass incomplete short left intended for Stefon Diggs,3.690,3.010
2,1:48,3,10,DEN 20,0,13,Teddy Bridgewater pass incomplete deep left intended for Stefon Diggs,3.010,2.120
2,1:43,4,10,DEN 20,3,13,Blair Walsh 38 yard field goal good,2.120,3.000
2,1:43,,,MIN 35,3,13,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
2,1:39,1,10,DEN 20,3,13,Peyton Manning pass complete short right to Demaryius Thomas for 3 yards (tackle by Xavier Rhodes),0.280,0.140
2,0:58,2,7,DEN 23,3,13,Peyton Manning pass complete short right to Owen Daniels for 8 yards (tackle by Eric Kendricks),0.140,1.000
2,0:52,1,10,DEN 31,3,13,Peyton Manning pass incomplete deep right intended for Emmanuel Sanders,1.000,0.460
2,0:47,2,10,DEN 31,3,13,Peyton Manning pass complete short left to Demaryius Thomas for no gain,0.460,0.460
2,0:40,2,10,DEN 31,3,13,Timeout #1 by Minnesota Vikings,0.460,-0.230
2,0:40,3,10,DEN 31,3,13,Peyton Manning pass complete deep right to Demaryius Thomas for 24 yards (tackle by Robert Blanton),-0.230,-0.230
2,0:32,3,10,DEN 31,3,13,Timeout #3 by Denver Broncos,-0.230,2.590
2,0:32,1,10,MIN 45,3,13,Peyton Manning pass incomplete short left intended for Andre Caldwell is intercepted by Anthony Barr at MIN-41 and returned for 32 yards,2.590,-3.780
2,0:23,1,10,DEN 27,3,13,"Penalty on DEN: Defensive 12 On-field, 5 yards (no play)",3.780,4.510
2,0:23,1,5,DEN 22,3,13,Teddy Bridgewater pass complete deep left to Mike Wallace for 18 yards (tackle by Chris Harris). Penalty on DeMarcus Ware: Defensive Offside (Declined),4.510,6.280
2,0:17,1,4,DEN 4,9,13,"Teddy Bridgewater pass complete short left to Mike Wallace for 4 yards, touchdown",6.280,7.000
2,0:17,,,DEN 4,10,13,Blair Walsh kicks extra point good,0.000,0.000
2,0:17,,,MIN 35,10,13,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
2,0:12,1,10,DEN 20,10,13,Peyton Manning kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,MIN,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,10,13,"Blair Walsh kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,DEN 20,10,13,Peyton Manning pass complete short right to Ronnie Hillman for 5 yards (tackle by Gerald Hodges),0.280,0.410
3,14:27,2,5,DEN 25,10,13,Ronnie Hillman left tackle for 7 yards (tackle by Anthony Barr),0.410,1.070
3,13:46,1,10,DEN 32,10,13,"Peyton Manning pass incomplete deep right intended for Demaryius Thomas. Penalty on Xavier Rhodes: Defensive Pass Interference, 14 yards (no play)",1.070,1.990
3,13:41,1,10,DEN 46,10,13,C.J. Anderson left guard for 4 yards (tackle by Gerald Hodges),1.990,1.990
3,13:00,2,6,,10,13,"Peyton Manning pass complete deep left to Emmanuel Sanders for 43 yards (tackle by Xavier Rhodes). Penalty on Xavier Rhodes: Horse Collar Tackle, 4 yards",1.990,6.510
3,12:28,1,3,MIN 3,10,13,Peyton Manning pass incomplete short left intended for Emmanuel Sanders (defended by Terence Newman),6.510,5.530
3,12:24,2,3,MIN 3,10,13,Ronnie Hillman left guard for 2 yards (tackle by Harrison Smith),5.530,5.170
3,11:51,3,1,MIN 1,10,13,Ronnie Hillman right guard for no gain (tackle by Linval Joseph),5.170,3.550
3,11:15,4,1,MIN 1,10,19,"Peyton Manning pass complete short left to Owen Daniels for 1 yard, touchdown. Penalty on Chad Greenway: Defensive Holding (Declined)",3.550,7.000
3,11:15,,,MIN 1,10,20,Brandon McManus kicks extra point good,0.000,0.000
3,11:15,,,DEN 35,10,20,"Brandon McManus kicks off 58 yards, returned by Cordarrelle Patterson for 20 yards (tackle by Darian Stewart)",0.000,-0.740
3,11:02,1,10,MIN 27,10,20,Adrian Peterson left tackle for 1 yard (tackle by Malik Jackson),0.740,0.330
3,10:29,2,9,MIN 28,10,20,Teddy Bridgewater pass complete short right to Adrian Peterson for -1 yards (tackle by T.J. Ward),0.330,-0.490
3,9:49,3,10,MIN 27,10,20,Teddy Bridgewater pass complete short left to Adam Thielen for 5 yards (tackle by Chris Harris),-0.490,-1.240
3,9:16,4,5,MIN 32,10,20,"Jeff Locke punts 54 yards, returned by Emmanuel Sanders for 2 yards (tackle by Trae Waynes)",-1.240,0.140
3,9:04,1,10,DEN 16,10,20,"C.J. Anderson left guard for 2 yards (tackle by Gerald Hodges). Penalty on Michael Schofield: Illegal Formation, 5 yards (no play)",-0.140,-0.540
3,8:50,1,15,DEN 11,10,20,Peyton Manning pass incomplete short left intended for Owen Daniels,-0.540,-1.150
3,8:45,2,15,DEN 11,10,20,C.J. Anderson middle for 4 yards (tackle by Eric Kendricks),-1.150,-1.470
3,8:06,3,11,DEN 15,10,20,Peyton Manning pass complete short left to Demaryius Thomas for 4 yards (tackle by Robert Blanton),-1.470,-2.140
3,7:29,4,7,DEN 19,10,20,"Britton Colquitt punts 43 yards, returned by Marcus Sherels for 7 yards (tackle by Shaquil Barrett)",-2.140,-1.930
3,7:16,1,10,MIN 45,10,20,Adrian Peterson middle for 6 yards (tackle by Vance Walker),1.930,2.190
3,6:39,2,4,DEN 49,10,20,Adrian Peterson left guard for 1 yard (tackle by Brandon Marshall),2.190,1.620
3,6:03,3,3,DEN 48,10,20,Adrian Peterson right end for -2 yards (tackle by Chris Harris and Von Miller),1.620,-0.060
3,5:30,4,5,,10,20,"Jeff Locke punts 38 yards, fair catch by Emmanuel Sanders",-0.060,0.350
3,5:23,1,10,DEN 12,10,20,Ronnie Hillman middle for 7 yards (tackle by Harrison Smith),-0.350,0.100
3,4:50,2,3,DEN 19,10,20,Ronnie Hillman left guard for 5 yards (tackle by Shamar Stephen),0.100,0.540
3,4:12,1,10,DEN 24,10,20,"Penalty on Everson Griffen: Neutral Zone Infraction, 5 yards (no play)",0.540,1.270
3,3:57,1,5,DEN 29,10,20,Ronnie Hillman left guard for -1 yards (tackle by Tom Johnson),1.270,0.540
3,3:22,2,6,DEN 28,10,20,C.J. Anderson right end for 4 yards (tackle by Robert Blanton),0.540,0.370
3,2:37,3,2,DEN 32,10,20,Peyton Manning pass complete short left to Emmanuel Sanders for 8 yards (tackle by Terence Newman),0.370,1.600
3,1:58,1,10,DEN 40,10,20,Ronnie Hillman right tackle for 2 yards (tackle by Tom Johnson and Scott Crichton),1.600,1.320
3,1:14,2,8,DEN 42,10,20,C.J. Anderson left end for -2 yards (tackle by Linval Joseph),1.320,0.370
3,0:33,3,10,DEN 40,10,20,C.J. Anderson middle for 9 yards (tackle by Anthony Barr),0.370,-0.130
Quarter,Time,Down,ToGo,Location,MIN,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,1,DEN 49,10,20,Britton Colquitt punts 48 yards,-0.130,0.380
4,14:49,1,10,MIN 3,10,20,"Adrian Peterson right guard for no gain (tackle by Von Miller). Penalty on T.J. Ward: Defensive Offside, 5 yards (no play)",-0.380,-0.190
4,14:29,1,5,MIN 8,10,20,Teddy Bridgewater pass incomplete deep left intended for Adam Thielen,-0.190,-0.420
4,14:22,2,5,MIN 8,10,20,"Teddy Bridgewater pass complete short left to Stefon Diggs for 7 yards (tackle by Bradley Roby). Stefon Diggs fumbles (forced by Bradley Roby), recovered by Stefon Diggs at MIN-15",-0.420,-0.220
4,13:48,1,10,MIN 15,10,20,Teddy Bridgewater pass complete short right to Adam Thielen for 18 yards (tackle by T.J. Ward),-0.220,1.140
4,13:10,1,10,MIN 33,10,20,Teddy Bridgewater pass complete short right to Kyle Rudolph for 1 yard (tackle by T.J. Ward),1.140,0.730
4,12:38,2,9,MIN 34,10,20,Teddy Bridgewater pass complete short right to Cordarrelle Patterson for 9 yards (tackle by Aqib Talib),0.730,0.730
4,12:05,2,9,MIN 34,10,20,Timeout #1 by Denver Broncos,0.730,1.800
4,12:05,1,10,MIN 43,10,20,Teddy Bridgewater sacked by Sylvester Williams for -8 yards,1.800,0.170
4,11:25,2,18,MIN 35,10,20,"Penalty on Matt Kalil: False Start, 5 yards (no play)",0.170,-0.500
4,11:18,2,23,MIN 30,10,20,Jerick McKinnon middle for 6 yards (tackle by Shane Ray and David Bruton),-0.500,-0.360
4,10:38,3,17,MIN 36,10,20,Teddy Bridgewater pass complete short right to Adam Thielen for 16 yards (tackle by Brandon Marshall and David Bruton),-0.360,0.070
4,10:09,4,1,DEN 48,16,20,"Adrian Peterson middle for 48 yards, touchdown",0.070,7.000
4,10:09,,,DEN 48,17,20,Blair Walsh kicks extra point good,0.000,0.000
4,10:09,,,MIN 35,17,20,"Blair Walsh kicks off 72 yards, returned by Andre Caldwell for 26 yards (tackle by Danielle Hunter)",0.000,-0.150
4,9:56,1,10,DEN 19,17,20,Peyton Manning pass complete short right to Demaryius Thomas for 15 yards (tackle by Xavier Rhodes),0.150,1.200
4,9:13,1,10,DEN 34,17,20,Peyton Manning pass incomplete deep left intended for Demaryius Thomas is intercepted by Harrison Smith at MIN-47,1.200,-2.060
4,9:07,1,10,MIN 47,17,20,Teddy Bridgewater pass complete short middle to Adrian Peterson for 7 yards (tackle by Brandon Marshall),2.060,2.460
4,8:30,2,3,DEN 46,17,20,Teddy Bridgewater pass complete short left to Mike Wallace for 12 yards (tackle by Chris Harris),2.460,3.310
4,7:56,1,10,DEN 34,17,20,"Adrian Peterson left tackle for 4 yards (tackle by DeMarcus Ware). Penalty on DeMarcus Ware: Defensive Offside, 5 yards (no play)",3.310,4.040
4,7:32,1,5,DEN 29,17,20,"Mike Wallace left end for -4 yards (tackle by DeMarcus Ware). Penalty on Mike Wallace: Face Mask (15 Yards), 15 yards (no play)",4.040,2.650
4,7:17,1,20,DEN 44,17,20,Teddy Bridgewater pass complete deep right to Stefon Diggs for 21 yards,2.650,4.040
4,7:12,1,10,DEN 23,17,20,Adrian Peterson right tackle for -1 yards (tackle by Aqib Talib),4.040,3.360
4,6:33,2,11,DEN 24,17,20,Teddy Bridgewater sacked by Corey Nelson for -1 yards,3.360,2.540
4,5:50,3,12,DEN 25,17,20,Teddy Bridgewater pass complete short right to Adam Thielen for 10 yards (tackle by Corey Nelson),2.540,2.570
4,5:16,4,2,DEN 15,20,20,Blair Walsh 33 yard field goal good,2.570,3.000
4,5:16,,,MIN 35,20,20,"Blair Walsh kicks off 70 yards, returned by Andre Caldwell for 29 yards (tackle by Danielle Hunter)",0.000,-0.540
4,5:05,1,10,DEN 24,20,20,Peyton Manning pass complete short right to Emmanuel Sanders for 17 yards (tackle by Robert Blanton),0.540,1.660
4,4:30,1,10,DEN 41,20,20,Peyton Manning pass incomplete deep middle intended for Emmanuel Sanders,1.660,1.120
4,4:25,2,10,DEN 41,20,20,Peyton Manning pass complete short right to Bennie Fowler for 11 yards (tackle by Anthony Barr),1.120,2.390
4,3:40,1,10,MIN 48,20,20,Ronnie Hillman right guard for 5 yards (tackle by Gerald Hodges),2.390,2.520
4,3:00,2,5,MIN 43,20,20,"Peyton Manning pass incomplete short left intended for Demaryius Thomas. Penalty on Xavier Rhodes: Defensive Pass Interference, 5 yards (no play)",2.520,3.050
4,2:56,1,10,MIN 38,20,20,C.J. Anderson middle for 13 yards (tackle by Harrison Smith and Robert Blanton),3.050,3.910
4,2:14,1,10,MIN 25,20,20,Ronnie Hillman right tackle for 4 yards (tackle by Linval Joseph),3.910,3.910
4,2:09,1,10,MIN 25,20,20,Timeout #1 by Minnesota Vikings,3.910,3.900
4,2:09,2,6,MIN 21,20,20,Ronnie Hillman right tackle for no gain (tackle by Everson Griffen),3.900,3.200
4,2:00,3,6,MIN 21,20,20,Peyton Manning pass incomplete deep left intended for Demaryius Thomas (defended by Xavier Rhodes),3.200,2.080
4,1:54,4,6,MIN 21,20,23,Brandon McManus 39 yard field goal good,2.080,3.000
4,1:54,,,DEN 35,20,23,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
4,1:51,1,10,MIN 20,20,23,Teddy Bridgewater pass complete short middle to Adrian Peterson for 9 yards (tackle by David Bruton and Brandon Marshall),0.280,0.950
4,1:27,2,1,MIN 29,20,23,Teddy Bridgewater sacked by Von Miller for -9 yards,0.950,0.950
4,1:20,2,1,MIN 29,20,23,Timeout #2 by Minnesota Vikings,0.950,-0.960
4,1:20,3,10,MIN 20,20,23,Teddy Bridgewater middle for 10 yards (tackle by Chris Harris),-0.960,0.940
4,0:50,1,10,MIN 30,20,23,Teddy Bridgewater pass complete short right to Mike Wallace for 17 yards,0.940,2.060
4,0:44,1,10,MIN 47,20,23,Teddy Bridgewater pass incomplete short left intended for Adrian Peterson,2.060,1.520
4,0:35,2,10,MIN 47,20,23,"Teddy Bridgewater sacked by T.J. Ward for -5 yards. Teddy Bridgewater fumbles (forced by T.J. Ward), recovered by Von Miller at MIN-42 (tackle by Brandon Fusco)",1.520,-2.790
4,0:29,1,10,MIN 42,20,23,Peyton Manning kneels for -1 yards,2.790,2.110
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
