Unnamed: 0,HOU,NYG
First Downs,20,26
Rush-Yds-TDs,25-119-1,42-193-1
Cmp-Att-Yd-TD-INT,21-35-299-1-3,21-28-234-2-0
Sacked-Yards,2-7,1-8
Net Pass Yards,292,226
Total Yards,411,419
Fumbles-Lost,1-0,2-1
Turnovers,3,1
Penalties-Yards,5-40,4-31
Third Down Conv.,2-12,4-12
Fourth Down Conv.,1-2,0-1
Time of Possession,27:26,32:34
