Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Ezekiel Elliott,DAL,12,45,0,3,16,1.3,29,2.4,0,
Tony Pollard,DAL,8,16,0,1,3,0.4,13,1.6,0,
Andy Dalton,DAL,3,16,0,0,12,4.0,4,1.3,0,
Amari Cooper,DAL,1,5,0,0,3,3.0,2,2.0,0,
Ben DiNucci,DAL,1,0,0,0,0,0.0,0,0.0,0,
CeeDee Lamb,DAL,1,1,0,,0,0.0,1,1.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Antonio Gibson,WAS,20,128,1,3,66,3.3,62,3.1,1,20.0
Peyton Barber,WAS,10,34,0,3,15,1.5,19,1.9,0,
J.D. McKissic,WAS,5,35,0,3,23,4.6,12,2.4,0,
Kyle Allen,WAS,4,11,0,1,-2,-0.5,13,3.3,2,2.0
