Unnamed: 0,DAL,WAS
First Downs,12,21
Rush-Yds-TDs,26-83-0,39-208-1
Cmp-Att-Yd-TD-INT,11-22-114-0-1,15-25-194-2-0
Sacked-Yards,6-55,2-5
Net Pass Yards,59,189
Total Yards,142,397
Fumbles-Lost,3-0,0-0
Turnovers,1,0
Penalties-Yards,6-49,4-30
Third Down Conv.,3-12,9-15
Fourth Down Conv.,0-1,0-1
Time of Possession,23:36,36:24
