Quarter,Time,Tm,Detail,DAL,WAS
1.0,7:45,Washington,Safety,0,2
,3:48,Washington,Antonio Gibson 12 yard rush (Dustin Hopkins kick),0,9
,1:52,Cowboys,Greg Zuerlein 45 yard field goal,3,9
2.0,9:54,Washington,Terry McLaurin 52 yard pass from Kyle Allen (pass failed),3,15
,3:08,Washington,Logan Thomas 15 yard pass from Kyle Allen (Dustin Hopkins kick),3,22
4.0,13:23,Washington,Dustin Hopkins 30 yard field goal,3,25
