Quarter,Time,Tm,Detail,CAR,HOU
1.0,2:23,Panthers,Joey Slye 48 yard field goal,3,0
2.0,7:59,Texans,Ka'imi Fairbairn 37 yard field goal,3,3
,1:08,Panthers,Christian McCaffrey 3 yard rush (Joey Slye kick),10,3
3.0,8:39,Texans,Deshaun Watson 1 yard rush (Ka'imi Fairbairn kick),10,10
4.0,14:50,Panthers,Joey Slye 55 yard field goal,13,10
,0:28,Panthers,Joey Slye 26 yard field goal,16,10
