Quarter,Time,Tm,Detail,TAM,CAR
1.0,2:23,Buccaneers,Ike Hilliard 6 yard pass from Bruce Gradkowski (Matt Bryant kick),7,0
3.0,12:52,Panthers,John Kasay 28 yard field goal,7,3
,8:27,Panthers,Keyshawn Johnson 4 yard pass from Jake Delhomme (John Kasay kick),7,10
,1:50,Panthers,Brad Hoover 5 yard rush (John Kasay kick),7,17
4.0,8:32,Buccaneers,Matt Bryant 28 yard field goal,10,17
,3:11,Panthers,Steve Smith Sr. 36 yard pass from Jake Delhomme (John Kasay kick),10,24
