Unnamed: 0,TAM,CAR
First Downs,13,17
Rush-Yds-TDs,22-69-0,30-78-1
Cmp-Att-Yd-TD-INT,17-32-173-1-2,22-34-240-2-1
Sacked-Yards,3-20,0-0
Net Pass Yards,153,240
Total Yards,222,318
Fumbles-Lost,2-2,1-1
Turnovers,4,2
Penalties-Yards,9-71,9-70
Third Down Conv.,3-13,6-14
Fourth Down Conv.,0-1,0-0
Time of Possession,26:44,33:16
