Unnamed: 0,MIN,NYG
First Downs,22,18
Rush-Yds-TDs,34-211-0,20-64-0
Cmp-Att-Yd-TD-INT,22-27-306-2-0,21-38-182-1-1
Sacked-Yards,3-27,4-35
Net Pass Yards,279,147
Total Yards,490,211
Fumbles-Lost,3-1,0-0
Turnovers,1,1
Penalties-Yards,12-112,5-45
Third Down Conv.,5-11,8-16
Fourth Down Conv.,1-1,0-3
Time of Possession,32:40,27:20
