Quarter,Time,Tm,Detail,MIN,NYG
1.0,8:46,Vikings,Dan Bailey 31 yard field goal,3,0
2.0,14:55,Vikings,Adam Thielen 15 yard pass from Kirk Cousins (Dan Bailey kick),10,0
,12:08,Giants,Darius Slayton 35 yard pass from Daniel Jones (Aldrick Rosas kick),10,7
,7:51,Vikings,Dan Bailey 48 yard field goal,13,7
,2:09,Vikings,"Safety, Jon Hilliman tackled in end zone by Anthony Barr",15,7
,0:47,Vikings,Dan Bailey 32 yard field goal,18,7
3.0,7:35,Giants,Aldrick Rosas 32 yard field goal,18,10
,4:52,Vikings,Adam Thielen 9 yard pass from Kirk Cousins (Dan Bailey kick),25,10
4.0,4:09,Vikings,Dan Bailey 45 yard field goal,28,10
