Unnamed: 0,PIT,LAC
First Downs,22,33
Rush-Yds-TDs,18-55-1,26-159-2
Cmp-Att-Yd-TD-INT,28-44-273-3-0,30-41-382-3-1
Sacked-Yards,3-28,2-8
Net Pass Yards,245,374
Total Yards,300,533
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,8-38,12-75
Third Down Conv.,8-15,7-12
Fourth Down Conv.,0-2,0-1
Time of Possession,28:14,31:46
