Quarter,Time,Tm,Detail,GNB,SFO
1.0,2:52,49ers,Vernon Davis 20 yard pass from Colin Kaepernick (Phil Dawson kick),0,7
,1:05,Packers,Randall Cobb 5 yard pass from Aaron Rodgers (Mason Crosby kick),7,7
2.0,8:57,49ers,Anquan Boldin 10 yard pass from Colin Kaepernick (Phil Dawson kick),7,14
,0:16,Packers,Jermichael Finley 12 yard pass from Aaron Rodgers (Mason Crosby kick),14,14
3.0,9:46,49ers,Vernon Davis 2 yard pass from Colin Kaepernick (Phil Dawson kick),14,21
,3:49,Packers,Jordy Nelson 8 yard pass from Aaron Rodgers (Mason Crosby kick),21,21
4.0,14:17,49ers,Phil Dawson 27 yard field goal,21,24
,8:26,Packers,Eddie Lacy 2 yard rush (Mason Crosby kick),28,24
,5:47,49ers,Frank Gore 1 yard rush (Phil Dawson kick),28,31
,0:26,49ers,Phil Dawson 33 yard field goal,28,34
