Unnamed: 0,GNB,SFO
First Downs,23,23
Rush-Yds-TDs,19-63-1,34-90-1
Cmp-Att-Yd-TD-INT,21-37-333-3-1,27-39-412-3-0
Sacked-Yards,2-11,2-8
Net Pass Yards,322,404
Total Yards,385,494
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,5-44,11-85
Third Down Conv.,4-10,9-18
Fourth Down Conv.,0-0,1-1
Time of Possession,21:25,38:35
