Quarter,Time,Tm,Detail,CIN,MIA
1.0,11:16,Dolphins,Jay Feely 49 yard field goal,0,3
,3:53,Bengals,Chad Johnson 2 yard pass from Carson Palmer (Shayne Graham kick),7,3
2.0,7:03,Dolphins,Ted Ginn Jr. 5 yard pass from Cleo Lemon (Jay Feely kick),7,10
,6:27,Bengals,Chad Johnson 70 yard pass from Carson Palmer (Shayne Graham kick),14,10
,0:04,Bengals,Antonio Chatman 4 yard pass from Carson Palmer (Shayne Graham kick),21,10
3.0,13:12,Bengals,Nedu Ndukwe 54 yard defensive fumble return (Shayne Graham kick),28,10
4.0,12:21,Dolphins,John Beck 2 yard rush (Jay Feely kick),28,17
,10:03,Bengals,Kenny Watson 2 yard rush (Shayne Graham kick),35,17
,2:16,Bengals,Shayne Graham 30 yard field goal,38,17
,0:28,Dolphins,Derek Hagan 22 yard pass from John Beck (Derek Hagan pass from John Beck),38,25
