Unnamed: 0,ARI,STL
First Downs,21,20
Rush-Yds-TDs,21-112-1,24-85-0
Cmp-Att-Yd-TD-INT,22-41-297-1-0,32-55-253-1-3
Sacked-Yards,2-31,2-13
Net Pass Yards,266,240
Total Yards,378,325
Fumbles-Lost,7-4,2-1
Turnovers,4,4
Penalties-Yards,10-72,5-40
Third Down Conv.,5-13,8-20
Fourth Down Conv.,0-0,2-3
Time of Possession,27:09,32:51
