Unnamed: 0,TEN,IND
First Downs,19,21
Rush-Yds-TDs,22-89-1,34-193-2
Cmp-Att-Yd-TD-INT,23-35-264-0-1,20-26-253-0-0
Sacked-Yards,1-5,1-17
Net Pass Yards,259,236
Total Yards,348,429
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,4-58,8-55
Third Down Conv.,5-12,8-13
Fourth Down Conv.,1-2,0-1
Time of Possession,28:57,31:03
