Unnamed: 0,DAL,SFO
First Downs,26,14
Rush-Yds-TDs,39-194-1,29-106-1
Cmp-Att-Yd-TD-INT,23-32-245-2-0,16-23-196-1-1
Sacked-Yards,2-11,1-7
Net Pass Yards,234,189
Total Yards,428,295
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,6-45,5-32
Third Down Conv.,6-14,8-14
Fourth Down Conv.,0-0,0-1
Time of Possession,36:27,23:33
