Quarter,Time,Tm,Detail,TAM,CHI
2.0,13:24,Buccaneers,Mike Evans 19 yard pass from Josh McCown (Patrick Murray kick),7,0
,0:04,Buccaneers,Patrick Murray 32 yard field goal,10,0
3.0,10:33,Bears,Alshon Jeffery 2 yard pass from Jay Cutler (Robbie Gould kick),10,7
,4:51,Bears,Matt Forte 13 yard rush (Robbie Gould kick),10,14
,3:02,Bears,Matt Forte 1 yard rush (Robbie Gould kick),10,21
4.0,4:56,Buccaneers,Patrick Murray 39 yard field goal,13,21
