Unnamed: 0,TAM,CHI
First Downs,17,12
Rush-Yds-TDs,22-66-0,26-92-2
Cmp-Att-Yd-TD-INT,25-48-341-1-2,17-27-130-1-0
Sacked-Yards,5-40,3-18
Net Pass Yards,301,112
Total Yards,367,204
Fumbles-Lost,4-2,1-1
Turnovers,4,1
Penalties-Yards,9-87,6-45
Third Down Conv.,7-17,4-16
Fourth Down Conv.,0-1,0-0
Time of Possession,30:10,29:50
