Quarter,Time,Down,ToGo,Location,SFO,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,STL 35,0,0,"Josh Brown kicks off 72 yards, returned by Kendall Hunter for 29 yards (tackle by Darian Stewart)",0.000,0.410
1,14:56,1,10,SFO 22,0,0,Alex Smith pass complete short left to Vernon Davis for 9 yards (tackle by Brady Poppinga),0.410,1.080
1,14:28,2,1,SFO 31,0,0,Frank Gore left tackle for 3 yards (tackle by James Hall),1.080,1.200
1,13:52,1,10,SFO 34,0,0,Frank Gore left guard for no gain (tackle by James Hall),1.200,0.660
1,13:13,2,10,SFO 34,0,0,Alex Smith pass complete short right to Vernon Davis for 5 yards (tackle by Chris Chamberlain),0.660,0.630
1,12:37,3,5,SFO 39,0,0,Alex Smith pass complete short middle to Vernon Davis for 9 yards (tackle by Quintin Mikell),0.630,2.130
1,12:03,1,10,SFO 48,0,0,Alex Smith pass complete deep middle to Michael Crabtree for 16 yards (tackle by Roderick Hood),2.130,3.180
1,11:19,1,10,STL 36,0,0,Frank Gore right tackle for 1 yard (tackle by Chris Long),3.180,2.770
1,10:35,2,9,STL 35,0,0,Kendall Hunter left end for 5 yards (tackle by Quintin Mikell),2.770,2.740
1,9:52,3,4,STL 30,0,0,Alex Smith pass incomplete short left intended for Brett Swain,2.740,1.460
1,9:46,4,4,STL 30,0,0,David Akers 48 yard field goal no good,1.460,-1.470
1,9:41,1,10,STL 38,0,0,Steven Jackson left tackle for no gain (tackle by Parys Haralson),1.470,0.920
1,9:07,2,10,STL 38,0,0,Kellen Clemens pass complete deep middle to Brandon Lloyd for 24 yards (tackle by Dashon Goldson),0.920,3.050
1,8:31,1,10,SFO 38,0,0,Steven Jackson right end for 7 yards (tackle by Carlos Rogers),3.050,3.450
1,7:50,2,3,SFO 31,0,0,Steven Jackson up the middle for 10 yards (tackle by Carlos Rogers),3.450,4.170
1,7:12,1,10,SFO 21,0,0,Steven Jackson left tackle for 3 yards (tackle by Ray McDonald),4.170,4.040
1,6:35,2,7,SFO 18,0,0,Kellen Clemens pass incomplete deep right intended for Lance Kendricks,4.040,3.310
