Unnamed: 0,SFO,STL
First Downs,21,18
Rush-Yds-TDs,37-116-2,25-111-2
Cmp-Att-Yd-TD-INT,21-31-227-2-0,14-34-226-1-2
Sacked-Yards,3-22,3-26
Net Pass Yards,205,200
Total Yards,321,311
Fumbles-Lost,1-0,1-0
Turnovers,0,2
Penalties-Yards,5-80,6-50
Third Down Conv.,6-16,5-15
Fourth Down Conv.,1-1,0-1
Time of Possession,35:08,24:52
