Unnamed: 0,PIT,CLE
First Downs,23,15
Rush-Yds-TDs,20-77-1,29-99-0
Cmp-Att-Yd-TD-INT,25-44-272-2-3,17-27-224-0-0
Sacked-Yards,2-11,5-21
Net Pass Yards,261,203
Total Yards,338,302
Fumbles-Lost,0-0,2-2
Turnovers,3,2
Penalties-Yards,5-50,7-57
Third Down Conv.,6-12,7-15
Fourth Down Conv.,0-0,1-1
Time of Possession,27:47,32:13
