Quarter,Time,Tm,Detail,KAN,CIN
1.0,9:21,Chiefs,Demarcus Robinson 29 yard pass from Patrick Mahomes (Harrison Butker kick),7,0
,2:50,Chiefs,Travis Kelce 3 yard pass from Patrick Mahomes (Harrison Butker kick),14,0
,2:01,Bengals,Ja'Marr Chase 72 yard pass from Joe Burrow (Evan McPherson kick),14,7
2.0,12:56,Chiefs,Darrel Williams 1 yard rush (Harrison Butker kick),21,7
,7:42,Bengals,Ja'Marr Chase 18 yard pass from Joe Burrow (Evan McPherson kick),21,14
,2:18,Chiefs,Darrel Williams 1 yard rush (Harrison Butker kick),28,14
,0:41,Bengals,Evan McPherson 46 yard field goal,28,17
3.0,13:30,Bengals,Ja'Marr Chase 69 yard pass from Joe Burrow (Evan McPherson kick),28,24
4.0,11:44,Bengals,Tyler Boyd 5 yard pass from Joe Burrow (Evan McPherson kick),28,31
,6:01,Chiefs,Harrison Butker 34 yard field goal,31,31
,0:00,Bengals,Evan McPherson 20 yard field goal,31,34
