Unnamed: 0,KAN,CIN
First Downs,23,23
Rush-Yds-TDs,23-155-2,19-60-0
Cmp-Att-Yd-TD-INT,26-35-259-2-0,30-40-446-4-0
Sacked-Yards,0-0,4-31
Net Pass Yards,259,415
Total Yards,414,475
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,10-83,5-62
Third Down Conv.,6-11,4-10
Fourth Down Conv.,1-1,1-1
Time of Possession,30:54,29:06
