Unnamed: 0,CAR,TAM
First Downs,22,22
Rush-Yds-TDs,36-141-0,13-46-0
Cmp-Att-Yd-TD-INT,19-24-214-4-0,30-41-321-3-2
Sacked-Yards,1-7,2-22
Net Pass Yards,207,299
Total Yards,348,345
Fumbles-Lost,1-0,2-1
Turnovers,0,3
Penalties-Yards,5-52,10-77
Third Down Conv.,7-12,3-7
Fourth Down Conv.,0-0,0-0
Time of Possession,35:34,24:26
