Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Todd Gurley,LAR,15,51,2,4,35,2.3,16,1.1,1,15.0
Malcolm Brown,LAR,1,3,0,,2,2.0,1,1.0,0,
Brandin Cooks,LAR,1,27,0,1,27,27.0,0,0.0,0,
Jared Goff,LAR,1,1,0,0,1,1.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Chris Carson,SEA,27,118,0,8,36,1.3,82,3.0,3,9.0
Russell Wilson,SEA,8,32,0,2,29,3.6,3,0.4,0,
Rashaad Penny,SEA,6,18,0,0,15,2.5,3,0.5,0,
Will Dissly,SEA,1,7,0,0,5,5.0,2,2.0,0,
Tyler Lockett,SEA,1,-8,0,0,-8,-8.0,0,0.0,0,
