Quarter,Time,Down,ToGo,Location,TAM,DET,Detail,EPB,EPA
1,8:17,4,7,TAM 27,0,0,"Michael Koenen punts 43 yards, fair catch by Jeremy Ross",-1.570,-0.940
1,8:08,1,10,DET 30,0,0,Matthew Stafford pass incomplete deep right intended for Calvin Johnson (defended by Bradley McDougald),0.940,0.390
1,7:59,2,10,DET 30,0,0,Joique Bell left tackle for no gain (tackle by Da'Quan Bowers and Akeem Spence),0.390,-0.300
1,7:19,3,10,DET 30,0,0,Matthew Stafford pass complete short right to Calvin Johnson for 21 yards (tackle by Danny Lansanah),-0.300,2.320
1,6:36,1,10,TAM 49,0,0,Joique Bell right tackle for no gain (tackle by Da'Quan Bowers and Orie Lemon),2.320,1.780
1,5:54,2,10,TAM 49,0,0,Matthew Stafford pass incomplete,1.780,1.090
1,5:45,3,10,TAM 49,0,0,Matthew Stafford pass complete short middle to Eric Ebron for 12 yards (tackle by Dashon Goldson),1.090,3.120
1,5:07,1,10,TAM 37,0,0,Reggie Bush right end for 3 yards (tackle by Brandon Dixon and T.J. Fatinikun),3.120,2.980
1,4:27,2,7,TAM 34,0,0,Matthew Stafford pass complete short right to Calvin Johnson for 15 yards (tackle by Johnthan Banks),2.980,4.310
1,3:48,1,10,TAM 19,0,0,Matthew Stafford pass complete short middle to Golden Tate for 13 yards (tackle by Major Wright),4.310,5.830
1,3:07,1,6,TAM 6,0,0,Matthew Stafford pass incomplete short right intended for Eric Ebron,5.830,4.950
1,3:02,2,6,TAM 6,0,6,"Matthew Stafford pass complete short right to Calvin Johnson for 6 yards, touchdown",4.950,7.000
1,3:02,,,TAM 2,0,7,Matt Prater kicks extra point good,0.000,0.000
1,3:02,,,DET 35,0,7,"Sam Martin kicks off 65 yards, touchback",0.000,-0.280
1,2:57,1,10,TAM 20,0,7,Doug Martin right end for 9 yards (tackle by Tahir Whitehead),0.280,0.950
1,2:18,2,1,TAM 29,0,7,Josh McCown pass complete short left to Vincent Jackson for 8 yards (tackle by James Ihedigbo),0.950,1.400
1,1:43,1,10,TAM 37,0,7,Josh McCown pass complete short middle to Vincent Jackson for 8 yards (tackle by Rashean Mathis and James Ihedigbo),1.400,1.940
1,1:05,2,2,TAM 45,0,7,Josh McCown pass incomplete deep left intended for Luke Stocker,1.940,1.220
1,0:59,3,2,TAM 45,0,7,Josh McCown pass complete short left to Luke Stocker for 4 yards (tackle by Rashean Mathis and DeAndre Levy),1.220,2.190
1,0:20,1,10,TAM 49,0,7,Josh McCown pass incomplete short left intended for Mike Evans (defended by Rashean Mathis),2.190,1.650
1,0:15,2,10,TAM 49,0,7,Josh McCown pass complete short right to Mike Evans for 1 yard (tackle by DeAndre Levy),1.650,1.090
Quarter,Time,Down,ToGo,Location,TAM,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,9,,0,7,Josh McCown pass complete short right to Charles Sims for 24 yards (tackle by Glover Quin),1.090,3.840
2,14:25,1,10,DET 26,0,7,Josh McCown pass incomplete short left intended for Vincent Jackson,3.840,3.300
2,14:21,2,10,DET 26,0,7,Josh McCown pass incomplete deep middle intended for Mike Evans (defended by Glover Quin),3.300,2.610
2,14:16,3,10,DET 26,0,7,Josh McCown sacked by George Johnson for -10 yards,2.610,0.880
2,13:37,4,20,DET 36,3,7,Patrick Murray 54 yard field goal good,0.880,3.000
2,13:37,,,TAM 35,3,7,"Michael Koenen kicks off 65 yards, touchback",0.000,-0.280
2,13:32,1,10,DET 20,3,7,Joique Bell left tackle for 3 yards (tackle by Gerald McCoy),0.280,0.140
2,12:58,2,7,DET 23,3,7,Matthew Stafford pass complete short right to Reggie Bush for 6 yards (tackle by Jacquies Smith and Alterraun Verner),0.140,0.230
2,12:11,3,1,DET 29,3,7,Matthew Stafford sacked by Jacquies Smith for 0 yards,0.230,-1.440
2,11:36,4,1,DET 29,3,7,"Sam Martin punts 71 yards, touchback",-1.440,-0.280
2,11:28,1,10,TAM 20,3,7,Charles Sims left tackle for 3 yards (tackle by C.J. Mosley),0.280,0.140
2,10:53,2,7,TAM 23,3,7,Charles Sims right end for -3 yards (tackle by Josh Bynes),0.140,-0.960
2,10:08,3,10,TAM 20,3,7,Josh McCown pass incomplete short left intended for Mike Evans is intercepted by Glover Quin at TAM-34,-0.960,-3.310
2,10:01,1,10,TAM 34,3,7,Joique Bell left end for no gain (tackle by Orie Lemon),3.310,2.770
2,9:23,2,10,TAM 34,3,7,Matthew Stafford pass complete deep middle to Calvin Johnson for 17 yards (tackle by Danny Lansanah),2.770,4.440
2,8:43,1,10,TAM 17,3,7,George Winn right tackle for 2 yards (tackle by Orie Lemon),4.440,4.150
2,8:01,2,8,TAM 15,3,7,Matthew Stafford pass incomplete short right intended for Reggie Bush (defended by Johnthan Banks),4.150,3.340
2,7:55,3,8,TAM 15,3,7,"Penalty on Gerald McCoy: Neutral Zone Infraction, 5 yards (no play)",3.340,4.340
2,7:55,3,3,TAM 10,3,7,Matthew Stafford pass complete short right to Reggie Bush for 3 yards (tackle by William Gholston and Bradley McDougald),4.340,5.600
2,7:21,1,7,TAM 7,3,7,Joique Bell right tackle for 5 yards (tackle by Lavonte David),5.600,5.720
2,6:47,2,2,TAM 2,3,7,Joique Bell up the middle for 1 yard (tackle by William Gholston),5.720,5.170
2,6:07,3,1,TAM 1,3,13,"Joique Bell right tackle for 1 yard, touchdown",5.170,7.000
,,,,,,,"Replay Assistant challenged the runner was down by contact ruling, and the play was upheld.",,
2,6:07,,,TAM 2,3,14,Matt Prater kicks extra point good,0.000,0.000
2,6:07,,,DET 35,3,14,"Sam Martin kicks off 65 yards, touchback",0.000,-0.280
2,6:01,1,10,TAM 20,3,14,Josh McCown pass complete short left to Vincent Jackson for 6 yards (tackle by Rashean Mathis),0.280,0.540
2,5:34,2,4,TAM 26,3,14,Josh McCown pass complete short left to Vincent Jackson for 9 yards (tackle by Rashean Mathis),0.540,1.270
2,5:10,1,10,TAM 35,3,14,"Josh McCown for no gain. Josh McCown fumbles, recovered by Andre Fluellen at TAM-32 (tackle by Josh McCown)",1.270,-3.450
2,5:04,1,10,TAM 32,3,14,Reggie Bush right tackle for 2 yards (tackle by Lavonte David and Michael Johnson),3.450,3.170
2,4:29,2,8,TAM 30,3,14,Matthew Stafford pass complete short left to Joique Bell for 5 yards (tackle by Isaiah Frey and Johnthan Banks),3.170,3.140
2,3:48,3,3,TAM 25,3,14,Matthew Stafford pass complete short left to Reggie Bush for -3 yards (tackle by Alterraun Verner),3.140,1.610
2,3:05,4,6,TAM 28,3,17,Matt Prater 46 yard field goal good,1.610,3.000
2,3:05,,,DET 35,3,17,"Sam Martin kicks off 65 yards, touchback",0.000,-0.280
2,3:01,1,10,TAM 20,3,17,Josh McCown up the middle for 3 yards (tackle by DeAndre Levy),0.280,0.140
2,2:33,2,7,TAM 23,3,17,Josh McCown pass incomplete short left intended for Vincent Jackson,0.140,-0.560
2,2:28,3,7,TAM 23,3,17,Josh McCown pass complete short right to Mike Evans for 13 yards,-0.560,1.330
2,2:07,1,10,TAM 36,3,17,Charles Sims right tackle for -3 yards (tackle by Ndamukong Suh),1.330,0.390
2,2:00,2,13,TAM 33,3,17,"Josh McCown pass complete deep right to Vincent Jackson for 50 yards (tackle by James Ihedigbo). Penalty on Ndamukong Suh: Roughing the Passer, 9 yards",0.390,0.390
2,1:49,2,13,TAM 33,3,17,Timeout #1 by Detroit Lions,0.390,5.370
2,1:49,1,8,DET 8,3,17,"Josh McCown pass incomplete short middle intended for Vincent Jackson is intercepted by James Ihedigbo at DET--7 and returned for 11 yards. James Ihedigbo fumbles (forced by Luke Stocker), recovered by Oniel Cousins at DET-10 (tackle by Darius Slay)",5.370,4.910
2,1:35,1,10,DET 10,3,17,Josh McCown pass complete short left to Louis Murphy for 4 yards (tackle by Tahir Whitehead and Cassius Vaughn),4.910,4.950
2,0:52,2,6,DET 6,3,17,Josh McCown sacked by DeAndre Levy for -8 yards,4.950,4.950
2,0:17,2,6,DET 6,3,17,Timeout #1 by Tampa Bay Buccaneers,4.950,3.000
2,0:17,3,14,DET 14,3,17,"Josh McCown left end for 3 yards (tackle by Rashean Mathis). Penalty on Jason Jones: Face Mask (15 Yards), 6 yards",3.000,6.060
2,0:09,1,5,DET 5,9,17,"Josh McCown pass complete short left to Mike Evans for 5 yards, touchdown. Penalty on Demar Dotson: Personal Foul, 15 yards",6.060,7.000
2,0:09,,,DET 2,10,17,Patrick Murray kicks extra point good,0.000,0.000
2,0:09,,,TAM 20,10,17,"Michael Koenen kicks off 76 yards, returned by Jeremy Ross for 31 yards (tackle by Isaiah Frey)",0.000,0.280
Quarter,Time,Down,ToGo,Location,TAM,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DET 35,10,17,"Sam Martin kicks off 65 yards, touchback",0.000,6.060
3,15:00,1,5,DET 5,10,17,Timeout #1 by Tampa Bay Buccaneers,6.060,0.280
3,15:00,1,10,TAM 20,10,17,Doug Martin up the middle for 2 yards (tackle by Ndamukong Suh and C.J. Mosley),0.280,0.000
3,14:31,2,8,TAM 22,10,17,Josh McCown sacked by DeAndre Levy for -5 yards,0.000,-1.510
3,13:49,3,13,TAM 17,10,17,"Josh McCown pass complete short left to Louis Murphy for 8 yards (tackle by Ezekiel Ansah). Penalty on Ezekiel Ansah: Defensive Offside, 5 yards (no play)",-1.510,-0.690
3,13:13,3,8,TAM 22,10,17,Josh McCown pass incomplete short right intended for Vincent Jackson (defended by Cassius Vaughn),-0.690,-1.900
3,13:06,4,8,TAM 22,10,17,"Michael Koenen punts 50 yards, returned by Jeremy Ross for 11 yards (tackle by Leonard Johnson)",-1.900,-1.530
3,12:55,1,10,DET 39,10,17,Matthew Stafford pass complete deep middle to Calvin Johnson for 53 yards (tackle by Bradley McDougald),1.530,5.370
3,12:08,1,8,TAM 8,10,17,Matthew Stafford pass incomplete short left intended for Reggie Bush,5.370,4.570
3,12:03,2,8,TAM 8,10,17,Joique Bell up the middle for 3 yards (tackle by Orie Lemon),4.570,4.260
3,11:23,3,5,TAM 5,10,17,Matthew Stafford pass incomplete short right intended for Jeremy Ross (defended by Lavonte David),4.260,3.010
3,11:18,4,5,TAM 5,10,20,Matt Prater 23 yard field goal good,3.010,3.000
3,11:18,,,DET 35,10,20,"Sam Martin kicks off 65 yards, touchback",0.000,-0.280
3,11:14,1,10,TAM 20,10,20,Charles Sims right tackle for 3 yards (tackle by Cassius Vaughn),0.280,0.140
3,10:36,2,7,TAM 23,10,20,Josh McCown pass incomplete,0.140,-0.560
3,10:27,3,7,TAM 23,10,20,Josh McCown pass incomplete short left intended for Vincent Jackson (defended by Rashean Mathis),-0.560,-1.830
3,10:21,4,7,TAM 23,10,20,"Michael Koenen punts 39 yards, fair catch by Jeremy Ross",-1.830,-1.470
3,10:14,1,10,DET 38,10,20,Joique Bell right tackle for 3 yards (tackle by Da'Quan Bowers),1.470,1.330
3,9:41,2,7,DET 41,10,20,Jeremy Ross left end for 4 yards (tackle by Dashon Goldson),1.330,1.160
3,9:15,3,3,DET 45,10,20,"Penalty on Golden Tate: False Start, 5 yards (no play)",1.160,0.500
3,8:35,3,8,DET 40,10,20,Matthew Stafford sacked by Jacquies Smith for 0 yards,0.500,-0.720
3,7:55,4,8,DET 40,10,20,"Sam Martin punts 38 yards, fair catch by Solomon Patton",-0.720,-0.410
3,7:49,1,10,TAM 22,10,20,Josh McCown pass incomplete short left intended for Luke Stocker,0.410,-0.130
3,7:44,2,10,TAM 22,10,20,"Doug Martin up the middle for 2 yards (tackle by Ndamukong Suh). Penalty on Evan Dietrich-Smith: Offensive Holding, 10 yards",-0.130,-1.330
3,7:19,2,18,TAM 14,10,20,Josh McCown pass complete short right to Vincent Jackson for 10 yards (tackle by Darius Slay),-1.330,-0.560
3,6:35,3,8,TAM 24,10,20,Josh McCown pass complete short left to Vincent Jackson for 7 yards (tackle by Tahir Whitehead),-0.560,-1.310
3,5:54,4,1,TAM 31,10,20,"Michael Koenen punts 46 yards, returned by Jeremy Ross for no gain. Penalty on Corey Fuller: Illegal Block Above the Waist, 10 yards",-1.310,0.350
3,5:42,1,10,DET 12,10,20,Matthew Stafford pass complete short left to Joique Bell for 27 yards (tackle by Major Wright and Johnthan Banks),-0.350,1.530
3,4:57,1,10,DET 39,10,20,Reggie Bush up the middle for 2 yards (tackle by T.J. Fatinikun),1.530,1.260
3,4:16,2,8,DET 41,10,20,Matthew Stafford pass complete short right to Golden Tate for 10 yards (tackle by Danny Lansanah),1.260,2.320
3,3:33,1,10,TAM 49,10,20,Matthew Stafford pass complete short right to Eric Ebron for 11 yards (tackle by Major Wright and Danny Lansanah),2.320,3.050
3,2:47,1,10,TAM 38,10,20,"Matthew Stafford pass incomplete. Dominic Raiola fumbles, recovered by Dominic Raiola at DET-TB",3.050,2.510
3,2:40,2,10,TAM 38,10,20,Matthew Stafford pass complete short right to Calvin Johnson for 18 yards (tackle by Alterraun Verner),2.510,4.240
3,2:01,1,10,TAM 20,10,20,Reggie Bush up the middle for 12 yards (tackle by Danny Lansanah),4.240,5.370
3,1:22,1,8,TAM 8,10,20,Joique Bell right end for 6 yards (tackle by Dashon Goldson),5.370,5.720
3,1:01,2,2,TAM 2,10,20,Matthew Stafford sacked by William Gholston for -8 yards,5.720,3.130
3,0:20,3,10,TAM 10,10,26,"Matthew Stafford pass complete short middle to Joseph Fauria for 10 yards, touchdown",3.130,7.000
3,0:20,,,TAM 2,10,27,Matt Prater kicks extra point good,0.000,0.000
3,0:20,,,DET 35,10,27,"Sam Martin kicks off 69 yards, returned by Solomon Patton for 23 yards (tackle by George Winn)",0.000,-0.150
3,0:09,1,10,TAM 19,10,27,Doug Martin right tackle for 6 yards (tackle by Glover Quin),0.150,0.480
Quarter,Time,Down,ToGo,Location,TAM,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,TAM 25,10,27,Josh McCown pass incomplete short right intended for Charles Sims,0.480,-0.290
4,14:55,3,4,TAM 25,10,27,Josh McCown pass complete short right to Vincent Jackson for 12 yards (tackle by Darius Slay),-0.290,1.400
4,14:13,1,10,TAM 37,10,27,"Josh McCown pass incomplete deep right intended for Vincent Jackson. Penalty on Darius Slay: Defensive Pass Interference, 24 yards (no play)",1.400,2.980
4,14:06,1,10,DET 39,10,27,Josh McCown pass complete short middle to Vincent Jackson for 13 yards (tackle by James Ihedigbo),2.980,3.840
4,13:34,1,10,DET 26,10,27,Josh McCown pass complete short right to Doug Martin for no gain,3.840,3.300
4,13:00,2,10,DET 26,16,27,"Josh McCown pass complete deep left to Mike Evans for 26 yards, touchdown",3.300,7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
4,13:00,,,DET 2,17,27,Patrick Murray kicks extra point good,0.000,0.000
4,13:00,,,TAM 35,17,27,"Michael Koenen kicks off 59 yards, returned by Jeremy Ross for 36 yards (tackle by Isaiah Frey)",0.000,-1.730
4,12:43,1,10,DET 42,17,27,Reggie Bush up the middle for 4 yards (tackle by Bradley McDougald),1.730,1.730
4,12:06,2,6,DET 46,17,27,Joique Bell left end for -1 yards (tackle by Danny Lansanah),1.730,0.890
4,11:12,3,7,DET 45,17,27,"Matthew Stafford sacked by Larry English for -6 yards. Matthew Stafford fumbles (forced by Larry English), recovered by Travis Swanson at DET-36",0.890,-0.980
4,10:51,4,16,DET 36,17,27,"Sam Martin punts 46 yards. Penalty on Isa Abdul-Quddus: Interference with Opportunity to, 15 yards",-0.980,-1.140
4,10:39,1,10,TAM 33,17,27,"Josh McCown pass complete short left to Mike James for 3 yards (tackle by James Ihedigbo). Mike James fumbles (forced by James Ihedigbo), ball out of bounds at TAM-36. Penalty on Demar Dotson: Offensive Holding, 10 yards (no play)",1.140,0.480
4,10:25,1,20,TAM 23,17,27,Charles Sims up the middle for -4 yards (tackle by Ndamukong Suh),0.480,-1.360
4,9:39,2,24,TAM 19,17,27,"Josh McCown pass incomplete deep right intended for Mike Evans. Penalty on Darius Slay: Defensive Pass Interference, 38 yards (no play)",-1.360,2.720
4,9:31,1,10,DET 43,17,27,Josh McCown pass incomplete short left intended for Mike Evans,2.720,2.180
4,9:24,2,10,DET 43,17,27,"Josh McCown pass complete short right to Louis Murphy for no gain. Penalty on Vincent Jackson: Offensive Pass Interference, 10 yards (no play)",2.180,0.830
4,9:01,2,20,TAM 47,17,27,Josh McCown left end for 2 yards (tackle by Ndamukong Suh),0.830,0.430
4,8:17,3,18,TAM 49,17,27,Josh McCown pass complete short left to Louis Murphy for 5 yards (tackle by Rashean Mathis). Penalty on Logan Mankins: Offensive Holding (Declined),0.430,0.200
4,8:05,4,13,DET 46,17,27,"Michael Koenen punts 38 yards, fair catch by Jeremy Ross",0.200,0.380
4,7:55,1,10,DET 8,17,27,Joique Bell right tackle for 57 yards (tackle by Alterraun Verner and Dane Fletcher),-0.380,3.250
4,7:22,1,10,TAM 35,17,27,Matthew Stafford pass incomplete short middle intended for Golden Tate,3.250,2.700
4,7:15,2,10,TAM 35,17,27,Matthew Stafford pass complete short right to Calvin Johnson for 13 yards (tackle by Johnthan Banks),2.700,4.110
4,6:33,1,10,TAM 22,17,27,Joique Bell right end for 2 yards (tackle by Bradley McDougald),4.110,3.830
4,5:51,2,8,TAM 20,17,27,Matthew Stafford pass complete short left to Calvin Johnson for 15 yards (tackle by Johnthan Banks),3.830,6.060
4,5:08,1,5,TAM 5,17,33,"Matthew Stafford pass complete short middle to Joique Bell for 5 yards, touchdown",6.060,7.000
4,5:08,,,TAM 2,17,33,"Matt Prater kicks extra point good. Penalty on Devin Taylor: Offensive Holding, 10 yards (no play)",0.000,-1.000
4,5:08,,,TAM 2,17,34,Matt Prater kicks extra point good,0.000,0.000
4,5:08,,,DET 35,17,34,"Sam Martin kicks off 65 yards, touchback",0.000,-0.280
4,5:01,1,10,TAM 20,17,34,Josh McCown sacked by Ezekiel Ansah for -4 yards,0.280,-0.940
4,4:29,2,14,TAM 16,17,34,Josh McCown pass incomplete short middle intended for Louis Murphy,-0.940,-1.690
4,4:25,3,14,TAM 16,17,34,Josh McCown sacked by Ndamukong Suh for -11 yards,-1.690,-2.490
4,3:37,4,25,TAM 5,17,34,"Michael Koenen punts 39 yards, fair catch by Jeremy Ross",-2.490,-2.650
4,3:30,1,10,TAM 44,17,34,Joique Bell left tackle for no gain (tackle by William Gholston),2.650,2.110
4,2:44,2,10,TAM 44,17,34,Joique Bell right tackle for no gain (tackle by William Gholston and Major Wright),2.110,2.110
4,2:39,2,10,TAM 44,17,34,Timeout #2 by Tampa Bay Buccaneers,2.110,1.420
4,2:39,3,10,TAM 44,17,34,Reggie Bush right end for 5 yards (tackle by Akeem Spence),1.420,1.420
4,2:29,3,10,TAM 44,17,34,Timeout #3 by Tampa Bay Buccaneers,1.420,0.660
4,2:29,4,5,TAM 39,17,34,Reggie Bush left end for -1 yards (tackle by Orie Lemon),0.660,-1.600
4,2:23,1,10,TAM 40,17,34,Josh McCown pass complete short left to Louis Murphy for 9 yards (tackle by Cassius Vaughn),1.600,2.270
4,2:02,2,1,TAM 49,17,34,Josh McCown pass complete deep right to Vincent Jackson for 36 yards (tackle by Darius Slay),2.270,4.580
4,1:55,1,10,DET 15,17,34,Josh McCown pass incomplete short right intended for Vincent Jackson (defended by Darius Slay),4.580,3.950
4,1:49,2,10,DET 15,17,34,Josh McCown pass incomplete short left intended for Mike Evans,3.950,3.100
4,1:44,3,10,DET 15,17,34,Josh McCown pass incomplete short left intended for Mike Evans,3.100,2.440
4,1:38,4,10,DET 15,17,34,Josh McCown sacked by Andre Fluellen for -5 yards,2.440,-0.280
4,1:33,1,10,DET 20,17,34,Matthew Stafford kneels for no gain,0.280,-0.270
4,0:54,2,10,DET 20,17,34,Matthew Stafford kneels for -1 yards,-0.270,-1.140
4,0:33,3,11,DET 19,17,34,Matthew Stafford kneels for -1 yards,-1.140,-2.240
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
