Quarter,Time,Tm,Detail,TAM,DET
1.0,2:57,Lions,Calvin Johnson 6 yard pass from Matthew Stafford (Matt Prater kick),0,7
2.0,13:32,Buccaneers,Patrick Murray 54 yard field goal,3,7
,6:01,Lions,Joique Bell 1 yard rush (Matt Prater kick),3,14
,3:01,Lions,Matt Prater 46 yard field goal,3,17
,0:05,Buccaneers,Mike Evans 5 yard pass from Josh McCown (Patrick Murray kick),10,17
3.0,11:14,Lions,Matt Prater 23 yard field goal,10,20
,0:15,Lions,Joseph Fauria 10 yard pass from Matthew Stafford (Matt Prater kick),10,27
4.0,12:52,Buccaneers,Mike Evans 26 yard pass from Josh McCown (Patrick Murray kick),17,27
,5:01,Lions,Joique Bell 5 yard pass from Matthew Stafford (Matt Prater kick),17,34
