Unnamed: 0,TAM,DET
First Downs,15,22
Rush-Yds-TDs,14-26-0,31-113-1
Cmp-Att-Yd-TD-INT,20-39-250-2-2,26-34-311-3-0
Sacked-Yards,6-43,4-17
Net Pass Yards,207,294
Total Yards,233,407
Fumbles-Lost,1-1,3-1
Turnovers,3,1
Penalties-Yards,5-50,9-122
Third Down Conv.,4-14,7-15
Fourth Down Conv.,0-1,0-2
Time of Possession,23:25,36:35
