Quarter,Time,Tm,Detail,SDG,MIA
1.0,9:13,Dolphins,Caleb Sturgis 22 yard field goal,0,3
,0:18,Chargers,Antonio Gates 5 yard pass from Philip Rivers (Nick Novak kick),7,3
2.0,9:43,Dolphins,Daniel Thomas 1 yard rush (Caleb Sturgis kick),7,10
,0:54,Chargers,Nick Novak 27 yard field goal,10,10
3.0,7:43,Dolphins,Charles Clay 39 yard pass from Ryan Tannehill (Caleb Sturgis kick),10,17
,4:00,Chargers,Nick Novak 50 yard field goal,13,17
4.0,14:52,Chargers,Nick Novak 29 yard field goal,16,17
,8:34,Dolphins,Caleb Sturgis 37 yard field goal,16,20
